ID,Name,Institution,Department
FO210,Feride Oeztuerk-Winder,Cambridge,Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute
DJL15,David Lomas,Cambridge,Department of Radiology
FIA20,Franklin Aigbirhio,Cambridge,Department of Clinical Neurosciences
TJ212,Tobias Janowitz,Cambridge,Department of Oncology
NMS39,Nicole Sodir,Cambridge,Department of Biochemistry
JLG40,Julian Griffin,Cambridge,Department of Biochemistry
YYSH2,Yanyan Huang,Cambridge,Department of Engineering
JHG21,Jonathan Gillard,Cambridge,Department of Radiology
ABJ26,Asta Jonsdottir,Cambridge,MRC Cancer Unit
DRS36,David Spring,Cambridge,Department of Chemistry
SB10031,Shankar Balasubramanian,Cambridge,Department of Chemistry
SPJ13,Stephen Jackson,Cambridge,Department of Biochemistry
SJB32,Sarah Bray,Cambridge,"Department of Physiology, Development and Neuroscience"
GJH46,Gregory Hannon,Cambridge,Department of Oncology
RD439,Ronan Daly,Cambridge,Department of Engineering
CC234,Carlos Caldas,Cambridge,Department of Oncology
VMD20,Viji Draviam Sastry,Cambridge,Department of Genetics
SB674,Sandra Blanco Benavente,Cambridge,Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute
TGQE2,Timothy Eisen,Cambridge,Department of Oncology
AMD24,Alison Dunning,Cambridge,Department of Oncology
TDL2,Trevor Littlewood,Cambridge,Department of Biochemistry
SA263,Shubha Anand,Cambridge,C.I.M.R. Haematology
AGL22,Andrew Lynch,Cambridge,Cancer Research UK Cambridge Institute
KO268,Katrin Ottersbach,Cambridge,C.I.M.R. Haematology
LV225,Ludovic Vallier,Cambridge,Department of Surgery
JHFR2,James Rudd,Cambridge,Department of Medicine
PPD21,Pier D'Avino,Cambridge,Department of Pathology
SEB53,Sarah Bohndiek,Cambridge,Department of Physics
SR504,Suzanne Randle,Cambridge,Department of Pathology
NC109,Nicholas Coleman,Cambridge,Department of Pathology
REC11,Ruth Cameron,Cambridge,Department of Materials Science and Metallurgy
KBM1000,Kerstin Meyer,Cambridge,Department of Oncology
AM2185,Athena Matakidou,Cambridge,Cancer Research UK Cambridge Institute
ARV22,Ashok Venkitaraman,Cambridge,Department of Oncology
SP580,Sara Pensa,Cambridge,Department of Pharmacology
JP103,Jonathon Pines,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
CFK23,Clemens Kaminski,Cambridge,Department of Chemical Engineering and Biotechnology
LP212,Luca Pellegrini,Cambridge,Department of Biochemistry
KMB1001,Kevin Brindle,Cambridge,Department of Biochemistry
MA630,Margaret Ashcroft,Cambridge,Department of Medicine
EW442,Edward Wilson,Cambridge,Institute of Public Health
FVG20,Fanni Gergely,Cambridge,Cancer Research UK Cambridge Institute
PAZ20,Philip Zegerman,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
JT233,John Trowsdale,Cambridge,Department of Pathology
NS421,Nicholas Shannon,Cambridge,Department of Oncology
DS139,Robert St Johnston,Cambridge,Department of Genetics
AB149,Andrew Bannister,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
HRM28,Helen Mott,Cambridge,Department of Biochemistry
ELR21,Emma Rawlins,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
MAS1001,Margaret Stanley,Cambridge,Department of Pathology
RMM32,Rebecca Myers,Cambridge,Department of Chemistry
KK101,Kay-Tee Khaw,Cambridge,Department of Public Health and Primary Care
TB507,Tristan Barrett,Cambridge,Department of Radiology
AJK61,Alexandre Kabla,Cambridge,Department of Engineering
cattc107,Peter Campbell,Cambridge,School of Clinical Medicine
EAM29,Eric Miska,Cambridge,Department of Genetics
jau20,Juliet Usher-Smith,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
SD642,Siddharth De,Cambridge,MRC Cancer Unit
gsv20,George Vassiliou,Cambridge,Department of Haematology
NGB21,Neil Burnet,Cambridge,Department of Oncology
VJG29,Vincent Gnanapragasam,Cambridge,Department of Surgery
SC10021,Suet Chin,Cambridge,Cancer Research UK Cambridge Institute
DO202,Darerca Owen,Cambridge,Department of Biochemistry
MQD20,Ming-Qing Du,Cambridge,Department of Pathology
GIE20,Gerard Evan,Cambridge,Department of Biochemistry
AMD3,Athene Donald,Cambridge,Department of Physics
DJH210,David Huggins,Cambridge,Department of Physics
MDT33,Marc Tischkowitz,Cambridge,Department of Medical Genetics
cm666,Carla Pedro Martins,Cambridge,MRC Cancer Unit
jgd29,Joseph Dennis,Cambridge,Department of Oncology Student
SR679,Steffen Rulands,Cambridge,
TIMM2,Timothy Malcolm,Cambridge,
mjg40,Martin Graves,Cambridge,Department of Radiology
DMG25,David Glover,Cambridge,Department of Genetics
DEN22,David Neal,Cambridge,Department of Surgery
12055,James Nathan,Cambridge,C.I.M.R. Medicine
DEN25,David Nelson,Cambridge,Department of Pathology
FM327,Florian Markowetz,Cambridge,Cancer Research UK Cambridge Institute
BG200,Berthold Gottgens,Cambridge,Department of Haematology
HS310,Honglin Song,Cambridge,Department of Oncology
RSJ33,Randall Johnson,Cambridge,"Department of Physiology, Development and Neuroscience"
JDB1003,James Brenton,Cambridge,Cancer Research UK Cambridge Institute
TL347,Timothy Larkin,Cambridge,Division of Neurosurgery
YK299,Yuu Kimata,Cambridge,Department of Genetics
AS889,Ana Cvejic,Cambridge,Department of Haematology
AL499,Alastair Lamb,Cambridge,Department of Surgery
EDL1,Ernest Laue,Cambridge,Department of Biochemistry
RALP2,Roger Pedersen,Cambridge,Department of Surgery
WTK22,Walid Khaled,Cambridge,Department of Pharmacology
EL422,Elisa Laurenti,Cambridge,Department of Haematology
SDT36,Suzanne Turner,Cambridge,Department of Pathology
st321,Simon Tavare,Cambridge,Department of Oncology
EJB60,Elizabeth Baxter,Cambridge,Department of Haematology
KBK21,Karoline Kuchenbaecker,Cambridge,Department of Public Health and Primary Care
MPW1001,Michael Weekes,Cambridge,C.I.M.R. Medicine
JVF21,Josep Forment,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
FM319,Frank McCaughan,Cambridge,Department of Biochemistry
QG209,Qi Guo,Cambridge,Department of Oncology
HCM29,Helen Morris,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
RCF29,Rebecca Fitzgerald,Cambridge,Department of Oncology
x_b03,Wolf Reik,Cambridge,Babraham Institute
TDF21,Timothy Fryer,Cambridge,Department of Clinical Neurosciences
CEM45,Charles Massie,Cambridge,Cancer Research UK Cambridge Institute
PG336,Peter Goon,Cambridge,Department of Pathology
NAW27,Nicholas Walton,Cambridge,Institute of Astronomy
JG473,Jochen Guck,Cambridge,Department of Physics
JG477,John Griffiths,Cambridge,Cancer Research UK Cambridge Institute
YJL26,Yingjun Liu,Cambridge,Department of Materials Science and Metallurgy
SVL1000,Steven Ley,Cambridge,Department of Chemistry
ERM1000,Eamonn Maher,Cambridge,Department of Medical Genetics
OAS23,Oren Scherman,Cambridge,Department of Chemistry
JG671,Javier Garcia Corbacho,Cambridge,
PJB91,Peter Bond,Cambridge,Department of Chemistry
TLB20,Tom Blundell,Cambridge,Department of Biochemistry
FAG1000,Ferdia Gallagher,Cambridge,Department of Radiology
