ID,Name,Institution,Department
ndos0461,"HAMDY, Freddie C",Oxford,Surgical Sciences
clme0240,"PUGH, Christopher W (Chris)",Oxford,NDM
KMB1001,Kevin Brindle,Cambridge,Department of Biochemistry
FVG20,Fanni Gergely,Cambridge,Cancer Research UK Cambridge Institute
JT233,John Trowsdale,Cambridge,Department of Pathology
clab0101,"PELLAGATTI, Andrea",Oxford,RDM
DS139,Robert St Johnston,Cambridge,Department of Genetics
DFE20,Douglas Easton,Cambridge,Department of Public Health and Primary Care
lina0435,"MCVEAN, Gilean AT (Gil)",Oxford,NDM
RMM32,Rebecca Myers,Cambridge,Department of Chemistry
KK101,Kay-Tee Khaw,Cambridge,Department of Public Health and Primary Care
cattc107,Peter Campbell,Cambridge,School of Clinical Medicine
EAM29,Eric Miska,Cambridge,Department of Genetics
stat0004,"DONNELLY, Peter J",Oxford,Statistics
gree1499,"CROWE, Francesca L",Oxford,Nuffield Department of Population Health
immd0024,"VYAS, Paresh",Oxford,RDM
jgd29,Joseph Dennis,Cambridge,Department of Oncology Student
DMG25,David Glover,Cambridge,Department of Genetics
DEN22,David Neal,Cambridge,Department of Surgery
ndos0168,"CARR, Andrew J (Andy)",Oxford,NDORMS
BG200,Berthold Gottgens,Cambridge,Department of Haematology
RSJ33,Randall Johnson,Cambridge,"Department of Physiology, Development and Neuroscience"
immd0499,"NIEDZWIEDZ, Wojciech",Oxford,Oncology
immd0556,"MEAD, Adam J",Oxford,RDM
clab0035,"BOULTWOOD, Jacqueline",Oxford,RDM
immd0316,"BUFFA, Francesca",Oxford,Oncology
ocms0037,"PONTING, Christopher (Chris)",Oxford,Physiology Anatomy & Genetics
clme1358,"BRENNAN, Paul E",Oxford,NDM
EDL1,Ernest Laue,Cambridge,Department of Biochemistry
molb0002,"VAN DER MERWE, Philip A (Anton)",Oxford,Pathology Dunn School
EJB60,Elizabeth Baxter,Cambridge,Department of Haematology
KBK21,Karoline Kuchenbaecker,Cambridge,Department of Public Health and Primary Care
bioc0212,"TYLER, Damian J",Oxford,Physiology Anatomy & Genetics
GL290,Georgios Lyratzopoulos,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
QG209,Qi Guo,Cambridge,Department of Oncology
clme0220,"HARRIS, Adrian",Oxford,Oncology
RCF29,Rebecca Fitzgerald,Cambridge,Department of Oncology
CEM45,Charles Massie,Cambridge,Cancer Research UK Cambridge Institute
whgu0274,"POLLARD, Patrick J",Oxford,NDM
bioc0764,"NOVAK, Bela",Oxford,Biochemistry
AS889,Ana Cvejic,Cambridge,Department of Haematology
bioc1078,"BARR, Francis A",Oxford,Biochemistry
JG477,John Griffiths,Cambridge,Cancer Research UK Cambridge Institute
SVL1000,Steven Ley,Cambridge,Department of Chemistry
ERM1000,Eamonn Maher,Cambridge,Department of Medical Genetics
whgu0172,"KESSLER, Benedikt",Oxford,NDM
raob0069,"VALLIS, Katherine A",Oxford,Oncology
TLB20,Tom Blundell,Cambridge,Department of Biochemistry
