Collaborator1,Collaborator2,Type,Publication Name,Title,Co-authors,Keywords
claridge,wolf1833,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
univ1923,wolf1833,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
raob0095,clme0670,Journal article,Metallomics: integrated biometal science,A dual radiolabelling approach for tracking metal complexes: investigating the speciation of copper bis(thiosemicarbazonates) in vitro and in vivo.,"Hueting R, Kersemans V, Tredwell M, Cornelissen B, Christlieb M, Gee AD, Passchier J, Smart SC, Gouverneur V, Muschel RJ, Dilworth JR","Cell Line, Animals, Humans, Mice, Neoplasms, Anoxia, Copper Radioisotopes, Organometallic Compounds, Thiosemicarbazones, Positron-Emission Tomography, Tomography, Emission-Computed, Single-Photon, Tissue Distribution, Female"
raob0095,chem0068,Journal article,Metallomics: integrated biometal science,A dual radiolabelling approach for tracking metal complexes: investigating the speciation of copper bis(thiosemicarbazonates) in vitro and in vivo.,"Hueting R, Kersemans V, Tredwell M, Cornelissen B, Christlieb M, Gee AD, Passchier J, Smart SC, Gouverneur V, Muschel RJ, Dilworth JR","Cell Line, Animals, Humans, Mice, Neoplasms, Anoxia, Copper Radioisotopes, Organometallic Compounds, Thiosemicarbazones, Positron-Emission Tomography, Tomography, Emission-Computed, Single-Photon, Tissue Distribution, Female"
clme0670,chem0068,Journal article,Metallomics: integrated biometal science,A dual radiolabelling approach for tracking metal complexes: investigating the speciation of copper bis(thiosemicarbazonates) in vitro and in vivo.,"Hueting R, Kersemans V, Tredwell M, Cornelissen B, Christlieb M, Gee AD, Passchier J, Smart SC, Gouverneur V, Muschel RJ, Dilworth JR","Cell Line, Animals, Humans, Mice, Neoplasms, Anoxia, Copper Radioisotopes, Organometallic Compounds, Thiosemicarbazones, Positron-Emission Tomography, Tomography, Emission-Computed, Single-Photon, Tissue Distribution, Female"
raob0051,raob0009,Journal article,Proceedings of SPIE - The International Society for Optical Engineering,The Gray Institute Open Microscopes applied to radiobiology and protein interaction studies,"Barber PR, Tullis IDC, Rowley MI, Martins CD, Weitsman G, Lawler K, Coffey M, Woodman N, Gillett CE, Ng T, Vojnovic B",
stat0004,clne0009,Journal article,Nature Genetics,Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke,"Bellenguez C, Bevan S, Gschwendtner A, Spencer CCA, Burgess AI, Pirinen M, Jackson CA, Traylor M, Strange A, Su Z, Band G, Syme PD, Malik R, Pera J, Norrving B, Lemmens R, Freeman C, Schanz R, James T, Poole D, Murphy L, Segal H, Cortellini L, Cheng Y, Woo D, Nalls M, Muller-Myhsok B, Meisinger C, Seedorf U, Ross-Adams H, Boonen S, Wloch-Kopec D, Valant V, Slark J, Furie K, Delavaran H, Langford C, Deloukas P, Edkins S, Hunt S, Gray E, Dronov S, Peltonen L, Gretarsdottir S, Thorleifsson G, Thorsteinsdottir U, Stefansson K, Boncoraglio G, Parati E, Attia J, Holliday E, Levi C, Franzosi M, Goel A, Helgadottir A, Blackwell JM, Bramon E, Brown MA, Casas JP, Corvin A, Duncanson A, Jankowski J, Mathew CG, Palmer CNA, Plomin R, Rautanen A, Sawcer SJ, Trembath RC, Viswanathan A, Wood NW, Worrall BB, Kittner SJ, Mitchell BD, Kissela B, Meschia JF, Thijs V, Lindgren A, Macleod MJ, Slowik A, Walters M, Rosand J, Sharma P, Farrall M, Sudlow CLM, Rothwell PM, Dichgans M, Donnelly P, Markus HS",
clme0169,clme0832,Journal article,Trials,Reporting of participant flow diagrams in published reports of randomized trials.,"Hopewell S, Hirst A, Collins GS, Mallett S, Yu LM, Altman DG","Cross-Sectional Studies, Humans, Publications, Randomized Controlled Trials as Topic, Research Design"
bioc0188,univ0247,Journal article,Cell Cycle,The role of ADP-ribosylation in regulating DNA double-strand break repair.,"Pears CJ, Couto CA, Wang HY, Borer C, Kiely R, Lakin ND","Adenosine Diphosphate, DNA Breaks, Double-Stranded, DNA Repair, Dictyostelium, Genomic Instability, Humans, Poly(ADP-ribose) Polymerase Inhibitors, Poly(ADP-ribose) Polymerases"
clne0102,engs0357,Journal article,IEEE Transactions on Medical Imaging,MRF-Based deformable registration and ventilation estimation of lung CT,"Heinrich MP, Jenkinson M, Brady M, Schnabel JA",
card0025,card0039,Journal article,International Journal of Cardiology,Heparin administration leads to rapid decrease in plasma matrix metalloproteinase-9,"Lee R, Adlam D, Antoniades C, Digby JE, Kharbanda RK, Choudhury RP, Channon KM",
ctsu0084,gree0184,Journal article,European Respiratory Journal,"Prevalence and correlates of airflow obstruction in ∼317,000 never-smokers in China.","Smith M, Li L, Augustyn M, Kurmi O, Chen J, Collins R, Guo Y, Han Y, Qin J, Xu G, Wang J, Bian Z, Zhou G, Peto R, Chen Z","China Kadoorie Biobank collaborative group, Humans, Asthma, Pulmonary Disease, Chronic Obstructive, Vital Capacity, Forced Expiratory Volume, Spirometry, Body Mass Index, Questionnaires, Prevalence, Odds Ratio, Cross-Sectional Studies, Smoking, Air Pollution, Indoor, Respiration, Adult, Aged, Middle Aged, China, Female, Male, Cooking"
clne0024,univ1102,Journal article,Magnetic Resonance in Medicine,A kinetic model for vessel-encoded dynamic angiography with arterial spin labeling.,"Okell TW, Chappell MA, Schulz UG, Jezzard P","Adult, Blood Flow Velocity, Brain, Cerebral Arteries, Cerebrovascular Circulation, Computer Simulation, Female, Humans, Image Enhancement, Image Interpretation, Computer-Assisted, Kinetics, Magnetic Resonance Angiography, Models, Cardiovascular, Neurological, Reproducibility of Results, Sensitivity and Specificity, Spin Labels, Young Adult"
clne0024,univ1102,Journal article,Translational Stroke Research,"Pseudo-Continuous Arterial Spin Labelling MRI for Non-Invasive, Whole-Brain, Serial Quantification of Cerebral Blood Flow Following Aneurysmal Subarachnoid Haemorrhage","Kelly ME, Rowland MJ, Okell TW, Westbrook J, Jezzard P, Pattinson KTS, Corkill R, Kerr RS, Chappell MA",
card0039,whgu0172,Journal article,Circulation,Integrated Plaque and Plasma Proteo-Lipidomics Reveal Novel Signatures of Coronary Atherosclerotic Plaque Disruption,"Lee R, Adlam D, Fischer R, Di Gleria K, Valli A, Charles P, McGouran J, Ruparelia N, Dawkins S, Kharbanda RK, Choudhury RP, Antoniades C, Kessler BM, Channon KM","Plaque rupture, Proteomics, Lipids, Extracellular matrix"
card0039,card0025,Journal article,Circulation,Integrated Plaque and Plasma Proteo-Lipidomics Reveal Novel Signatures of Coronary Atherosclerotic Plaque Disruption,"Lee R, Adlam D, Fischer R, Di Gleria K, Valli A, Charles P, McGouran J, Ruparelia N, Dawkins S, Kharbanda RK, Choudhury RP, Antoniades C, Kessler BM, Channon KM","Plaque rupture, Proteomics, Lipids, Extracellular matrix"
whgu0172,card0025,Journal article,Circulation,Integrated Plaque and Plasma Proteo-Lipidomics Reveal Novel Signatures of Coronary Atherosclerotic Plaque Disruption,"Lee R, Adlam D, Fischer R, Di Gleria K, Valli A, Charles P, McGouran J, Ruparelia N, Dawkins S, Kharbanda RK, Choudhury RP, Antoniades C, Kessler BM, Channon KM","Plaque rupture, Proteomics, Lipids, Extracellular matrix"
chri0963,phys0101,Journal article,The Journal of Physiology,Facilitation by intracellular carbonic anhydrase of Na+ -HCO3- co-transport but not Na+ / H+ exchange activity in the mammalian ventricular myocyte.,"Villafuerte FC, Swietach P, Youm JB, Ford K, Cardenas R, Supuran CT, Cobden PM, Rohling M, Vaughan-Jones RD","Animals, Bicarbonates, Carbonic Anhydrases, Cells, Cultured, Enzyme Activation, Heart Ventricles, Hydrogen-Ion Concentration, Male, Myocytes, Cardiac, Rats, Sprague-Dawley, Sodium, Sodium-Bicarbonate Symporters, Sodium-Hydrogen Antiporter"
card0018,bioc0192,Journal article,Journal of Cardiovascular Magnetic Resonance,"Adenosine stress native T1 mapping detects microvascular disease in diabetic cardiomyopathy, without the need for gadolinium-based contrast","Levelt E, Piechnik SK, Mahmod M, Ferreira VM, Ariga R, Francis JM, Liu A, Sellwood J, Wijesurendra RS, Robson MD, Clarke K, Neubauer S, Karamitsos TD",
card0025,card0018,Journal article,Circulation,Systemic and vascular oxidation limits the efficacy of oral tetrahydrobiopterin treatment in patients with coronary artery disease,"Cunnington C, Van Assche T, Shirodaria C, Kylintireas I, Lindsay AC, Lee JM, Antoniades C, Margaritis M, Lee R, Cerrato R, Crabtree MJ, Francis JM, Sayeed R, Ratnatunga C, Pillai R, Choudhury RP, Neubauer S, Channon KM",
card0025,card0039,Journal article,Circulation,Systemic and vascular oxidation limits the efficacy of oral tetrahydrobiopterin treatment in patients with coronary artery disease,"Cunnington C, Van Assche T, Shirodaria C, Kylintireas I, Lindsay AC, Lee JM, Antoniades C, Margaritis M, Lee R, Cerrato R, Crabtree MJ, Francis JM, Sayeed R, Ratnatunga C, Pillai R, Choudhury RP, Neubauer S, Channon KM",
card0018,card0039,Journal article,Circulation,Systemic and vascular oxidation limits the efficacy of oral tetrahydrobiopterin treatment in patients with coronary artery disease,"Cunnington C, Van Assche T, Shirodaria C, Kylintireas I, Lindsay AC, Lee JM, Antoniades C, Margaritis M, Lee R, Cerrato R, Crabtree MJ, Francis JM, Sayeed R, Ratnatunga C, Pillai R, Choudhury RP, Neubauer S, Channon KM",
card0018,bioc0192,Journal article,Magnetic Resonance in Medicine,T1 measurements in the human myocardium: the effects of magnetization transfer on the SASHA and MOLLI sequences.,"Robson MD, Piechnik SK, Tunnicliffe EM, Neubauer S","T1 mapping, cardiac MRI, magnetization transfer, tissue characterization, Heart, Humans, Magnetic Resonance Imaging, Models, Theoretical, Muscle, Skeletal"
clne0024,univ1102,Journal article,Neuroimage,Quantitative measurement of cerebral physiology using respiratory-calibrated MRI.,"Bulte DP, Kelly M, Germuska M, Xie J, Chappell MA, Okell TW, Bright MG, Jezzard P","Adult, Brain, Calibration, Cerebrovascular Circulation, Female, Humans, Magnetic Resonance Imaging, Male, Oxygen, Regional Blood Flow, Respiration"
card0018,card0039,Journal article,Journal of the American College of Cardiology,Myocardial oxygenation in coronary artery disease: insights from blood oxygen level-dependent magnetic resonance imaging at 3 tesla.,"Arnold JR, Karamitsos TD, Bhamra-Ariza P, Francis JM, Searle N, Robson MD, Howells RK, Choudhury RP, Rimoldi OE, Camici PG, Banning AP, Neubauer S, Jerosch-Herold M, Selvanayagam JB","Coronary Angiography, Coronary Artery Disease, Coronary Circulation, Electrocardiography, Equipment Design, Female, Follow-Up Studies, Humans, Magnetic Resonance Imaging, Cine, Male, Middle Aged, Myocardium, Oximetry, Oxygen, Oxygen Consumption, Prognosis, Regional Blood Flow, Reproducibility of Results, Severity of Illness Index"
card0018,bioc0192,Journal article,Journal of the American College of Cardiology,Myocardial oxygenation in coronary artery disease: insights from blood oxygen level-dependent magnetic resonance imaging at 3 tesla.,"Arnold JR, Karamitsos TD, Bhamra-Ariza P, Francis JM, Searle N, Robson MD, Howells RK, Choudhury RP, Rimoldi OE, Camici PG, Banning AP, Neubauer S, Jerosch-Herold M, Selvanayagam JB","Coronary Angiography, Coronary Artery Disease, Coronary Circulation, Electrocardiography, Equipment Design, Female, Follow-Up Studies, Humans, Magnetic Resonance Imaging, Cine, Male, Middle Aged, Myocardium, Oximetry, Oxygen, Oxygen Consumption, Prognosis, Regional Blood Flow, Reproducibility of Results, Severity of Illness Index"
card0039,bioc0192,Journal article,Journal of the American College of Cardiology,Myocardial oxygenation in coronary artery disease: insights from blood oxygen level-dependent magnetic resonance imaging at 3 tesla.,"Arnold JR, Karamitsos TD, Bhamra-Ariza P, Francis JM, Searle N, Robson MD, Howells RK, Choudhury RP, Rimoldi OE, Camici PG, Banning AP, Neubauer S, Jerosch-Herold M, Selvanayagam JB","Coronary Angiography, Coronary Artery Disease, Coronary Circulation, Electrocardiography, Equipment Design, Female, Follow-Up Studies, Humans, Magnetic Resonance Imaging, Cine, Male, Middle Aged, Myocardium, Oximetry, Oxygen, Oxygen Consumption, Prognosis, Regional Blood Flow, Reproducibility of Results, Severity of Illness Index"
whgu0172,cschof,Journal article,Proteomics,Expanding the yeast protein arginine methylome.,"Plank M, Fischer R, Geoghegan V, Charles PD, Konietzny R, Acuto O, Pears C, Schofield CJ, Kessler BM",
whgu0172,univ0247,Journal article,Proteomics,Expanding the yeast protein arginine methylome.,"Plank M, Fischer R, Geoghegan V, Charles PD, Konietzny R, Acuto O, Pears C, Schofield CJ, Kessler BM",
cschof,univ0247,Journal article,Proteomics,Expanding the yeast protein arginine methylome.,"Plank M, Fischer R, Geoghegan V, Charles PD, Konietzny R, Acuto O, Pears C, Schofield CJ, Kessler BM",
hert0418,stat0004,Journal article,Nature,"An integrated map of genetic variation from 1,092 human genomes","Altshuler DM, Durbin RM, Abecasis GR, Bentley DR, Chakravarti A, Clark AG, Donnelly P, Eichler EE, Flicek P, Gabriel SB, Gibbs RA, Green ED, Hurles ME, Knoppers BM, Korbel JO, Lander ES, Lee C, Lehrach H, Mardis ER, Marth GT, McVean GA, Nickerson DA, Schmidt JP, Sherry ST, Wang J, Wilson RK, Dinh H, Kovar C, Lee S, Lewis L, Muzny D, Reid J, Wang M, Fang X, Guo X, Jian M, Jiang H, Jin X, Li G, Li J, Li Y, Li Z, Liu X, Lu Y, Ma X, Su Z, Tai S, Tang M, Wang B, Wang G, Wu H, Wu R, Yin Y, Zhang W, Zhao J, Zhao M, Zheng X, Zhou Y, Gupta N, Clarke L, Leinonen R, Smith RE, Zheng-Bradley X, Grocock R, Humphray S, James T, Kingsbury Z, Sudbrak R, Albrecht MW, Amstislavskiy VS, Borodina TA, Lienhard M, Mertes F, Sultan M, Timmermann B, Yaspo ML, Fulton L, Fulton R, Weinstock GM, Balasubramaniam S, Burton J, Danecek P, Keane TM, Kolb-Kokocinski A, McCarthy S, Stalker J, Quail M, Davies CJ, Gollub J, Webster T, Wong B, Zhan Y, Auton A",
hert0418,lina0435,Journal article,Nature,"An integrated map of genetic variation from 1,092 human genomes","Altshuler DM, Durbin RM, Abecasis GR, Bentley DR, Chakravarti A, Clark AG, Donnelly P, Eichler EE, Flicek P, Gabriel SB, Gibbs RA, Green ED, Hurles ME, Knoppers BM, Korbel JO, Lander ES, Lee C, Lehrach H, Mardis ER, Marth GT, McVean GA, Nickerson DA, Schmidt JP, Sherry ST, Wang J, Wilson RK, Dinh H, Kovar C, Lee S, Lewis L, Muzny D, Reid J, Wang M, Fang X, Guo X, Jian M, Jiang H, Jin X, Li G, Li J, Li Y, Li Z, Liu X, Lu Y, Ma X, Su Z, Tai S, Tang M, Wang B, Wang G, Wu H, Wu R, Yin Y, Zhang W, Zhao J, Zhao M, Zheng X, Zhou Y, Gupta N, Clarke L, Leinonen R, Smith RE, Zheng-Bradley X, Grocock R, Humphray S, James T, Kingsbury Z, Sudbrak R, Albrecht MW, Amstislavskiy VS, Borodina TA, Lienhard M, Mertes F, Sultan M, Timmermann B, Yaspo ML, Fulton L, Fulton R, Weinstock GM, Balasubramaniam S, Burton J, Danecek P, Keane TM, Kolb-Kokocinski A, McCarthy S, Stalker J, Quail M, Davies CJ, Gollub J, Webster T, Wong B, Zhan Y, Auton A",
stat0004,lina0435,Journal article,Nature,"An integrated map of genetic variation from 1,092 human genomes","Altshuler DM, Durbin RM, Abecasis GR, Bentley DR, Chakravarti A, Clark AG, Donnelly P, Eichler EE, Flicek P, Gabriel SB, Gibbs RA, Green ED, Hurles ME, Knoppers BM, Korbel JO, Lander ES, Lee C, Lehrach H, Mardis ER, Marth GT, McVean GA, Nickerson DA, Schmidt JP, Sherry ST, Wang J, Wilson RK, Dinh H, Kovar C, Lee S, Lewis L, Muzny D, Reid J, Wang M, Fang X, Guo X, Jian M, Jiang H, Jin X, Li G, Li J, Li Y, Li Z, Liu X, Lu Y, Ma X, Su Z, Tai S, Tang M, Wang B, Wang G, Wu H, Wu R, Yin Y, Zhang W, Zhao J, Zhao M, Zheng X, Zhou Y, Gupta N, Clarke L, Leinonen R, Smith RE, Zheng-Bradley X, Grocock R, Humphray S, James T, Kingsbury Z, Sudbrak R, Albrecht MW, Amstislavskiy VS, Borodina TA, Lienhard M, Mertes F, Sultan M, Timmermann B, Yaspo ML, Fulton L, Fulton R, Weinstock GM, Balasubramaniam S, Burton J, Danecek P, Keane TM, Kolb-Kokocinski A, McCarthy S, Stalker J, Quail M, Davies CJ, Gollub J, Webster T, Wong B, Zhan Y, Auton A",
gree0989,clme0845,Journal article,British Journal of Cancer,Lifestyle and reproductive risk factors associated with anal cancer in women aged over 50 years,"Coffey K, Beral V, Green J, Reeves G, Barnes I",
path0511,immd0700,Journal article,The EMBO Journal,FOG-1 and GATA-1 act sequentially to specify definitive megakaryocytic and erythroid progenitors,"Mancini E, Sanjuan-Pla A, Luciani L, Moore S, Grover A, Zay A, Rasmussen KD, Luc S, Bilbao D, O'Carroll D, Jacobsen SE, Nerlov C",
raob0072,donc0120,Journal article,BMC Cancer,NEOSCOPE: a randomised Phase II study of induction chemotherapy followed by either oxaliplatin/capecitabine or paclitaxel/carboplatin based chemoradiation as pre-operative regimen for resectable oesophageal adenocarcinoma.,"Mukherjee S, Hurt CN, Gwynne S, Bateman A, Gollins S, Radhakrishna G, Hawkins M, Canham J, Lewis W, Grabsch HI, Sharma RA, Wade W, Maggs R, Tranter B, Roberts A, Sebag-Montefiore D, Maughan T, Griffiths G, Crosby T",
raob0072,raob0270,Journal article,BMC Cancer,NEOSCOPE: a randomised Phase II study of induction chemotherapy followed by either oxaliplatin/capecitabine or paclitaxel/carboplatin based chemoradiation as pre-operative regimen for resectable oesophageal adenocarcinoma.,"Mukherjee S, Hurt CN, Gwynne S, Bateman A, Gollins S, Radhakrishna G, Hawkins M, Canham J, Lewis W, Grabsch HI, Sharma RA, Wade W, Maggs R, Tranter B, Roberts A, Sebag-Montefiore D, Maughan T, Griffiths G, Crosby T",
donc0120,raob0270,Journal article,BMC Cancer,NEOSCOPE: a randomised Phase II study of induction chemotherapy followed by either oxaliplatin/capecitabine or paclitaxel/carboplatin based chemoradiation as pre-operative regimen for resectable oesophageal adenocarcinoma.,"Mukherjee S, Hurt CN, Gwynne S, Bateman A, Gollins S, Radhakrishna G, Hawkins M, Canham J, Lewis W, Grabsch HI, Sharma RA, Wade W, Maggs R, Tranter B, Roberts A, Sebag-Montefiore D, Maughan T, Griffiths G, Crosby T",
clab0035,clab0101,Journal article,Molecular Cancer Therapeutics,IL1RAP as functionally relevant target for stem-cell directed therapy in acute myeloid leukemia (AML) and myelodysplastic syndromes (MDS).,"Barreyro L, Mitchell K, Will B, Bartholdy B, Zhou L, Todorova T, Stanley R, Ben-Neriah S, Montagna C, Parekh S, Pellagatti A, Boultwood J, Paietta E, Ketterling R, Cripe L, Fernandez H, Greenberg P, Rowe J, Tallman M, Steidl C, Mitsiades C, Verma A, Steidl U",
dplb0149,claridge,Journal article,Journal of the American Chemical Society,Tuning the cavity of cyclodextrins: altered sugar adaptors in protein pores.,"Li WW, Claridge TD, Li Q, Wormald MR, Davis BG, Bayley H","Carbohydrate Conformation, Disulfides, Hemolysin Proteins, Kinetics, Magnetic Resonance Spectroscopy, Molecular Dynamics Simulation, Mutation, Porosity, Protein Binding, Protein Conformation, Stereoisomerism, beta-Cyclodextrins"
gree1192,gree1499,Journal article,European Heart Journal,Fruit and vegetable intake and mortality from ischaemic heart disease: results from the European Prospective Investigation into Cancer and Nutrition (EPIC)-Heart study.,"Crowe FL, Roddam AW, Key TJ, Appleby PN, Overvad K, Jakobsen MU, Tjønneland A, Hansen L, Boeing H, Weikert C, Linseisen J, Kaaks R, Trichopoulou A, Misirli G, Lagiou P, Sacerdote C, Pala V, Palli D, Tumino R, Panico S, Bueno-de-Mesquita HB, Boer J, van Gils CH, Beulens JW, Barricarte A, Rodríguez L, Larrañaga N, Sánchez MJ, Tormo MJ, Buckland G, Lund E, Hedblad B, Melander O, Jansson JH, Wennberg P, Wareham NJ, Slimani N, Romieu I, Jenab M, Danesh J, Gallo V, Norat T, Riboli E, European Prospective Investigation into Cancer and Nutrition (EPIC)-Heart Study Collaborators","Diet, Europe, Female, Fruit, Humans, Life Style, Male, Middle Aged, Myocardial Ischemia, Prospective Studies, Risk Factors, Vegetables"
raob0051,raob0009,Report,,The Gamma-H2AX Assay as a High Throughput Triage Tool:  Comparison of Two Prototype Devices,"Rothkamm K, Horn S, Pope I, Barber P, Barnard S, Moquet J, Tullis IDC, Vojnovic B",
clme0169,clme0832,Journal article,Annals of Internal Medicine,QRISK2-2011 predicted cardiovascular disease in adult general practice patients,"Collins GS, Altman DG",
cschof,univ1923,Journal article,Biochemical Journal,Investigations on the oxygen dependence of a 2-oxoglutarate histone demethylase.,"Sánchez-Fernández EM, Tarhonskaya H, Al-Qahtani K, Hopkinson RJ, McCullagh JS, Schofield CJ, Flashman E","Biocatalysis, Dose-Response Relationship, Drug, Histones, Humans, Iron, Jumonji Domain-Containing Histone Demethylases, Ketoglutaric Acids, Kinetics, Lysine, Molecular Structure, Oxygen, Peptides, Spectrophotometry, Substrate Specificity, Succinates"
cschof,wolf1833,Journal article,Biochemical Journal,Investigations on the oxygen dependence of a 2-oxoglutarate histone demethylase.,"Sánchez-Fernández EM, Tarhonskaya H, Al-Qahtani K, Hopkinson RJ, McCullagh JS, Schofield CJ, Flashman E","Biocatalysis, Dose-Response Relationship, Drug, Histones, Humans, Iron, Jumonji Domain-Containing Histone Demethylases, Ketoglutaric Acids, Kinetics, Lysine, Molecular Structure, Oxygen, Peptides, Spectrophotometry, Substrate Specificity, Succinates"
univ1923,wolf1833,Journal article,Biochemical Journal,Investigations on the oxygen dependence of a 2-oxoglutarate histone demethylase.,"Sánchez-Fernández EM, Tarhonskaya H, Al-Qahtani K, Hopkinson RJ, McCullagh JS, Schofield CJ, Flashman E","Biocatalysis, Dose-Response Relationship, Drug, Histones, Humans, Iron, Jumonji Domain-Containing Histone Demethylases, Ketoglutaric Acids, Kinetics, Lysine, Molecular Structure, Oxygen, Peptides, Spectrophotometry, Substrate Specificity, Succinates"
immd0082,path0511,Journal article,Leukaemia,Quiescent leukaemic cells account for minimal residual disease in childhood lymphoblastic leukaemia.,"Lutz C, Woll PS, Hall G, Castor A, Dreau H, Cassaniga G, Zuna J, Jensen C, Clark SA, Biondi A, Mitchell C, Ferry H, Schuh A, Buckle V, Jaconsen SE, Enver T",
immd0082,immd0330,Journal article,Leukaemia,Quiescent leukaemic cells account for minimal residual disease in childhood lymphoblastic leukaemia.,"Lutz C, Woll PS, Hall G, Castor A, Dreau H, Cassaniga G, Zuna J, Jensen C, Clark SA, Biondi A, Mitchell C, Ferry H, Schuh A, Buckle V, Jaconsen SE, Enver T",
path0511,immd0330,Journal article,Leukaemia,Quiescent leukaemic cells account for minimal residual disease in childhood lymphoblastic leukaemia.,"Lutz C, Woll PS, Hall G, Castor A, Dreau H, Cassaniga G, Zuna J, Jensen C, Clark SA, Biondi A, Mitchell C, Ferry H, Schuh A, Buckle V, Jaconsen SE, Enver T",
