Institution,Word,Count
Oxford,Protein-Serine-Threonine Kinases,222
Oxford,Western,221
Oxford,Cell Survival,221
Oxford,Computer Simulation,221
Oxford,MicroRNAs,217
Oxford,Histones,216
Oxford,Image Processing,214
Oxford,Monoclonal,213
Oxford,HeLa Cells,208
Oxford,Promoter Regions,208
Oxford,Neoplasm,208
Oxford,Cardiovascular Diseases,207
Oxford,Clinical Trials as Topic,207
Oxford,Kinetics,207
Oxford,Tomography,206
Oxford,Evolution,205
Oxford,Leukemia,202
Oxford,Databases,201
Oxford,Neovascularization,201
Oxford,Cross-Sectional Studies,201
Oxford,Cell Cycle Proteins,200
Oxford,Structure-Activity Relationship,199
Oxford,Gene Frequency,195
Oxford,Genetic Loci,194
Oxford,Radiotherapy,192
Oxford,European Continental Ancestry Group,191
Oxford,Newborn,191
Oxford,Developmental,190
Oxford,Receptor,188
Oxford,Cell Hypoxia,188
Oxford,Immunity,188
Oxford,Catalysis,188
Oxford,Imaging,186
Oxford,CD8-Positive T-Lymphocytes,185
Oxford,Hypoxia-Inducible Factor 1,184
Oxford,Substrate Specificity,182
Oxford,Oligonucleotide Array Sequence Analysis,179
Oxford,Cell Movement,176
Oxford,Pregnancy,175
Oxford,Diabetes Mellitus,174
Oxford,Secondary,173
Oxford,Proteins,172
Oxford,Cytokines,172
Oxford,Phylogeny,172
Oxford,Peptides,171
Oxford,Oxygen,170
Oxford,DNA Mutational Analysis,170
Oxford,HIV Infections,169
Oxford,Small Interfering,169
Oxford,Recombinant Proteins,169
Oxford,Stereoisomerism,169
Oxford,Proportional Hazards Models,167
Oxford,Lymphocyte Activation,167
Oxford,Antineoplastic Combined Chemotherapy Protocols,166
Oxford,Catalytic Domain,165
Oxford,Obesity,165
Oxford,Pathologic,164
Oxford,Odds Ratio,164
Oxford,Gene Expression,164
Oxford,Enzyme Inhibitors,164
Oxford,Bacterial,162
Oxford,Blood Pressure,162
Oxford,Repressor Proteins,161
Oxford,Chromatin,161
Oxford,Sequence Alignment,160
Oxford,Contrast Media,159
Oxford,Protein Kinase Inhibitors,159
Oxford,Type 2,158
Oxford,Chronic,157
Oxford,Risk,155
Oxford,Cell Membrane,155
Oxford,Age Factors,155
Oxford,Proto-Oncogene Proteins,154
Oxford,Prevalence,154
Oxford,Myocardial Infarction,152
Oxford,Inbred BALB C,152
Oxford,Diet,150
Oxford,Heart,150
Oxford,Dose-Response Relationship,149
Oxford,Tumor Suppressor Protein p53,149
Oxford,Escherichia coli,148
Oxford,Oxidation-Reduction,148
Oxford,T-Cell,148
Oxford,Ligands,147
Oxford,CD4-Positive T-Lymphocytes,147
Oxford,Coronary Artery Disease,146
Oxford,Chromosome Mapping,146
Oxford,Neoplasm Staging,146
Oxford,X-Ray Computed,145
Oxford,Disease-Free Survival,144
Oxford,Practice Guidelines as Topic,143
Oxford,Guidelines as Topic,143
Oxford,Publishing,142
Oxford,Chromatography,142
Oxford,Brain Mapping,142
Oxford,Antigen,141
Oxford,Sex Factors,141
Oxford,Macrophages,140
Oxford,Multivariate Analysis,138
Oxford,Hepatitis C,138
Oxford,Image Interpretation,138
Oxford,Cine,137
Oxford,Experimental,136
Oxford,Checklist,136
Oxford,Data Interpretation,136
Oxford,Cholesterol,135
Oxford,Real-Time Polymerase Chain Reaction,134
Oxford,HIV-1,134
Oxford,Image Enhancement,133
Oxford,Intracellular Signaling Peptides and Proteins,132
Oxford,DNA Replication,132
Oxford,Protein Processing,131
Oxford,alpha Subunit,131
Oxford,Post-Translational,131
Oxford,Prostatectomy,130
Oxford,Analysis of Variance,130
Oxford,DNA Methylation,130
Oxford,China,130
Oxford,Reverse Transcriptase Polymerase Chain Reaction,128
Oxford,Kaplan-Meier Estimate,128
Oxford,Carrier Proteins,128
Oxford,Hematopoietic Stem Cells,128
Oxford,Cell Transformation,127
Oxford,Drug Resistance,126
Oxford,Exons,126
Oxford,Energy Metabolism,125
Oxford,Lung Neoplasms,125
Oxford,Dendritic Cells,125
Oxford,DNA Breaks,125
