Institution,Word,Count
Oxford,Protein-Serine-Threonine Kinases,222
Oxford,Western,221
Oxford,Cell Survival,221
Oxford,Computer Simulation,221
Oxford,MicroRNAs,217
Oxford,Histones,216
Oxford,Image Processing,214
Oxford,Monoclonal,213
Oxford,HeLa Cells,208
Oxford,Promoter Regions,208
Oxford,Neoplasm,208
Oxford,Cardiovascular Diseases,207
Oxford,Clinical Trials as Topic,207
Oxford,Kinetics,207
Oxford,Tomography,206
Oxford,Evolution,205
Oxford,Leukemia,202
Oxford,Databases,201
Oxford,Neovascularization,201
Oxford,Cross-Sectional Studies,201
Oxford,Cell Cycle Proteins,200
Oxford,Structure-Activity Relationship,199
Oxford,Gene Frequency,195
Oxford,Genetic Loci,194
Oxford,Radiotherapy,192
Oxford,European Continental Ancestry Group,191
Oxford,Newborn,191
Oxford,Developmental,190
Oxford,Receptor,188
Oxford,Cell Hypoxia,188
Oxford,Immunity,188
Oxford,Catalysis,188
Oxford,Imaging,186
Oxford,CD8-Positive T-Lymphocytes,185
Oxford,Hypoxia-Inducible Factor 1,184
Oxford,Substrate Specificity,182
Oxford,Oligonucleotide Array Sequence Analysis,179
Oxford,Cell Movement,176
Oxford,Pregnancy,175
Oxford,Diabetes Mellitus,174
Oxford,Secondary,173
Oxford,Proteins,172
Oxford,Cytokines,172
Oxford,Phylogeny,172
Oxford,Peptides,171
Oxford,Oxygen,170
Oxford,DNA Mutational Analysis,170
Oxford,HIV Infections,169
Oxford,Small Interfering,169
Oxford,Recombinant Proteins,169
Oxford,Stereoisomerism,169
Oxford,Proportional Hazards Models,167
Oxford,Lymphocyte Activation,167
Oxford,Antineoplastic Combined Chemotherapy Protocols,166
Oxford,Catalytic Domain,165
Oxford,Obesity,165
Oxford,Pathologic,164
Oxford,Odds Ratio,164
Oxford,Gene Expression,164
Oxford,Enzyme Inhibitors,164
Oxford,Bacterial,162
Oxford,Blood Pressure,162
Oxford,Repressor Proteins,161
Oxford,Chromatin,161
Oxford,Sequence Alignment,160
Oxford,Contrast Media,159
Oxford,Protein Kinase Inhibitors,159
Oxford,Type 2,158
Oxford,Chronic,157
Oxford,Risk,155
Oxford,Cell Membrane,155
Oxford,Age Factors,155
Oxford,Proto-Oncogene Proteins,154
Oxford,Prevalence,154
Oxford,Myocardial Infarction,152
Oxford,Inbred BALB C,152
Oxford,Diet,150
Oxford,Heart,150
Oxford,Dose-Response Relationship,149
Oxford,Tumor Suppressor Protein p53,149
Oxford,Escherichia coli,148
Oxford,Oxidation-Reduction,148
Oxford,T-Cell,148
Oxford,Ligands,147
Oxford,CD4-Positive T-Lymphocytes,147
Oxford,Coronary Artery Disease,146
Oxford,Chromosome Mapping,146
Oxford,Neoplasm Staging,146
Oxford,X-Ray Computed,145
Oxford,Disease-Free Survival,144
Oxford,Practice Guidelines as Topic,143
Oxford,Guidelines as Topic,143
Oxford,Publishing,142
Oxford,Chromatography,142
Oxford,Brain Mapping,142
Oxford,Antigen,141
Oxford,Sex Factors,141
Oxford,Macrophages,140
Oxford,Multivariate Analysis,138
Oxford,Hepatitis C,138
Oxford,Image Interpretation,138
Oxford,Cine,137
Oxford,Experimental,136
Oxford,Checklist,136
Oxford,Data Interpretation,136
Oxford,Cholesterol,135
Oxford,Real-Time Polymerase Chain Reaction,134
Oxford,HIV-1,134
Oxford,Image Enhancement,133
Oxford,Intracellular Signaling Peptides and Proteins,132
Oxford,DNA Replication,132
Oxford,Protein Processing,131
Oxford,alpha Subunit,131
Oxford,Post-Translational,131
Oxford,Prostatectomy,130
Oxford,Analysis of Variance,130
Oxford,DNA Methylation,130
Oxford,China,130
Oxford,Reverse Transcriptase Polymerase Chain Reaction,128
Oxford,Kaplan-Meier Estimate,128
Oxford,Carrier Proteins,128
Oxford,Hematopoietic Stem Cells,128
Oxford,Cell Transformation,127
Oxford,Drug Resistance,126
Oxford,Exons,126
Oxford,Energy Metabolism,125
Oxford,Lung Neoplasms,125
Oxford,Dendritic Cells,125
Oxford,DNA Breaks,125
Cambridge,EXPRESSION,204
Cambridge,RISK,179
Cambridge,GENOME-WIDE ASSOCIATION,159
Cambridge,IN-VIVO,146
Cambridge,CANCER,144
Cambridge,GENE-EXPRESSION,143
Cambridge,BREAST-CANCER,120
Cambridge,Humans,104
Cambridge,GENE,102
Cambridge,PROTEIN,102
Cambridge,POPULATION,97
Cambridge,CELLS,96
Cambridge,DIFFERENTIATION,87
Cambridge,METAANALYSIS,86
Cambridge,IDENTIFICATION,85
Cambridge,ASSOCIATION,81
Cambridge,BINDING,80
Cambridge,ACTIVATION,75
Cambridge,MORTALITY,74
Cambridge,SURVIVAL,72
Cambridge,WOMEN,69
Cambridge,MODEL,68
Cambridge,VARIANTS,66
Cambridge,DISEASE,63
Cambridge,PARTON DISTRIBUTIONS,63
Cambridge,COHORT,62
Cambridge,OBESITY,60
Cambridge,breast cancer,57
Cambridge,MICE,57
Cambridge,LUNG-CANCER,56
Cambridge,Hadron-Hadron Scattering,55
Cambridge,POSITRON-EMISSION-TOMOGRAPHY,54
Cambridge,IN-VITRO,54
Cambridge,LHC,54
Cambridge,COMPLEX,54
Cambridge,LOCI,53
Cambridge,CARDIOVASCULAR-DISEASE,51
Cambridge,RECEPTOR,51
Cambridge,POLYMORPHISMS,48
Cambridge,PROSTATE-CANCER,48
Cambridge,MUTATIONS,48
Cambridge,SUSCEPTIBILITY,48
Cambridge,Animals,47
Cambridge,RISK-FACTORS,45
Cambridge,CARCINOMA,45
Cambridge,COLORECTAL-CANCER,44
Cambridge,NUTRITION,42
Cambridge,EVOLUTION,42
Cambridge,GROWTH,42
Cambridge,NATURAL-PRODUCTS,42
Cambridge,PROTEINS,41
Cambridge,SEQUENCE,41
Cambridge,Female,41
Cambridge,GENOME,41
Cambridge,CHEMISTRY,39
Cambridge,SACCHAROMYCES-CEREVISIAE,39
Cambridge,STEM-CELLS,39
Cambridge,TRIAL,39
Cambridge,inflammation,39
Cambridge,METABOLIC SYNDROME,39
Cambridge,MRI,38
Cambridge,PET,38
Cambridge,DNA,38
Cambridge,EMBRYONIC STEM-CELLS,38
Cambridge,OVARIAN-CANCER,36
Cambridge,PROGRESSION,36
Cambridge,GENES,36
Cambridge,PATHWAY,36
Cambridge,INHIBITION,36
Cambridge,PHYSICAL-ACTIVITY,36
Cambridge,FAMILY,36
Cambridge,SUSCEPTIBILITY LOCI,36
Cambridge,COMMON VARIANTS,36
Cambridge,DIAGNOSIS,35
Cambridge,TRANSCRIPTION,33
Cambridge,BRCA2,33
Cambridge,BODY-MASS INDEX,33
Cambridge,SPECTROSCOPY,33
Cambridge,PATTERNS,33
Cambridge,prostate cancer,32
Cambridge,BLOOD-PRESSURE,32
Cambridge,atherosclerosis,32
Cambridge,NMR,31
Cambridge,PROLIFERATION,30
Cambridge,MEN,30
Cambridge,APOPTOSIS,30
Cambridge,CONFER SUSCEPTIBILITY,30
Cambridge,DERIVATIVES,30
Cambridge,CRYSTAL-STRUCTURE,30
Cambridge,DESIGN,29
Cambridge,RECOGNITION,29
Cambridge,Physical activity,29
Cambridge,DRUG DISCOVERY,29
Cambridge,MOUSE,27
Cambridge,BREAST,27
Cambridge,PATHWAYS,27
Cambridge,VALIDITY,27
Cambridge,THERAPY,27
Cambridge,SUSCEPTIBILITY LOCUS,27
Cambridge,EPIC-NORFOLK,27
Cambridge,HADRON COLLIDERS,27
Cambridge,MANAGEMENT,27
Cambridge,RESISTANCE,27
Cambridge,ESTROGEN-RECEPTOR,27
Cambridge,HYPOXIA,27
Cambridge,HEALTH,27
Cambridge,CELL-CYCLE,27
Cambridge,UNITED-STATES,27
Cambridge,mitosis,27
Cambridge,ADULTS,27
Cambridge,Neoplasms,26
Cambridge,KINETICS,26
Cambridge,MECHANISM,26
Cambridge,Inflammation,25
Cambridge,STABILITY,25
Cambridge,PREDICTION,24
Cambridge,ALZHEIMERS-DISEASE,24
Cambridge,REVEALS,24
Cambridge,CHROMATIN,24
Cambridge,ATLAS,24
Cambridge,ENDOTHELIAL-CELLS,24
Cambridge,MICROARRAY DATA,24
Cambridge,MITOTIC SPINDLE,24
Cambridge,ORGANIC-SYNTHESIS,24
Cambridge,C-MYC,24
Cambridge,NF-KAPPA-B,24
Cambridge,Breast Neoplasms,24
Cambridge,EPITHELIAL-CELLS,24
Cambridge,DOMAIN,24
Cambridge,DYNAMICS,24
Cambridge,EPIC,24
Cambridge,cancer,24
Cambridge,TRANSCRIPTION FACTOR,24
Cambridge,INSULIN-RESISTANCE,24
Cambridge,CORONARY-HEART-DISEASE,24
Cambridge,RANDOMIZED CONTROLLED-TRIAL,24
Cambridge,LOCALIZATION,24
Cambridge,ADENOCARCINOMA,24
Cambridge,INSULIN,23
Cambridge,HERA,23
Cambridge,BEHAVIOR,23
Cambridge,RESOLUTION,23
Cambridge,CLASSIFICATION,23
Cambridge,Male,23
Cambridge,natural products,22
Cambridge,ACUTE MYELOID-LEUKEMIA,22
Cambridge,COLLISIONS,22
Cambridge,CHRONIC MYELOID-LEUKEMIA,21
Cambridge,BRCA1,21
Cambridge,HUMAN GENOME,21
Cambridge,TISSUE,21
Cambridge,PHOSPHORYLATION,21
Cambridge,OXIDATIVE STRESS,21
Cambridge,ALLELES,21
Cambridge,COMPLEXES,21
Cambridge,BLADDER-CANCER,21
Cambridge,PREVALENCE,21
Cambridge,HEART-DISEASE,21
Cambridge,CENTRAL-NERVOUS-SYSTEM,21
Cambridge,COLON-CANCER,21
Cambridge,Middle Aged,21
Cambridge,ESCHERICHIA-COLI,21
Cambridge,PANCREATIC-CANCER,21
Cambridge,Atherosclerosis,21
Cambridge,CAENORHABDITIS-ELEGANS,21
Cambridge,MOLECULES,21
Cambridge,DOUBLE-STRAND BREAKS,21
Cambridge,TUMORS,21
Cambridge,CHEMOTHERAPY,21
Cambridge,METHYLATION,21
Cambridge,Mice,21
Cambridge,MYOCARDIAL-INFARCTION,21
Cambridge,HOMOLOGOUS RECOMBINATION,21
Cambridge,EPIDEMIOLOGY,21
Cambridge,ATHEROSCLEROSIS,21
Cambridge,MAGNETIC-RESONANCE-SPECTROSCOPY,21
Cambridge,SOCIOECONOMIC-STATUS,21
Cambridge,WATER,20
Cambridge,DEGRADATION,20
Cambridge,Aged,20
Cambridge,FILMS,20
Cambridge,CELL-DEATH,20
Cambridge,AQUEOUS-SOLUTION,20
Cambridge,SYSTEM,19
Cambridge,PARTICLES,19
Cambridge,PROGENITORS,19
Cambridge,DISCOVERY,19
Cambridge,TRANSPORT,19
Cambridge,REPLICATION,18
Cambridge,SOMATIC MUTATIONS,18
Cambridge,chromatin,18
Cambridge,GENETICS,18
Cambridge,NANOPARTICLES,18
Cambridge,BIOLOGY,18
Cambridge,KINASE,18
Cambridge,CALIBRATION,18
Cambridge,DNA-BINDING,18
Cambridge,Type 2 diabetes,18
Cambridge,HELICOBACTER-PYLORI,18
Cambridge,cohort study,18
Cambridge,POLYMERS,18
Cambridge,PROMOTER,18
Cambridge,DNA-DAMAGE RESPONSE,18
Cambridge,CONSUMPTION,18
Cambridge,GERMLINE MUTATIONS,18
Cambridge,ENGLAND,18
Cambridge,MOUSE MODEL,18
Cambridge,RECOMBINATION,18
Cambridge,DNA-REPAIR,18
Cambridge,DIABETES-MELLITUS,18
Cambridge,LESIONS,18
Cambridge,SERUM,18
Cambridge,GROWTH-FACTOR,18
Cambridge,ovarian cancer,18
Cambridge,SYSTEMIC-LUPUS-ERYTHEMATOSUS,18
Cambridge,DROSOPHILA,18
Cambridge,TUMOR-SUPPRESSOR,18
Cambridge,PROGENITOR CELLS,18
Cambridge,POSTMENOPAUSAL WOMEN,18
Cambridge,LIVING CELLS,18
Cambridge,MASS-SPECTROMETRY,18
Cambridge,PHENOTYPE,18
Cambridge,BRCA2 MUTATION CARRIERS,18
Cambridge,CONSORTIUM,18
Cambridge,SMALL-MOLECULE,18
Cambridge,OVEREXPRESSION,18
Cambridge,TRANSLOCATION,18
Cambridge,RNA,18
Cambridge,Mitochondria,17
Cambridge,TARGETS,17
Cambridge,NITRIC-OXIDE,17
Cambridge,ABSORPTION,17
Cambridge,C-REACTIVE PROTEIN,17
Cambridge,SYSTEMS,17
Cambridge,LIGHT-SCATTERING,17
Cambridge,SURFACES,17
Cambridge,LIGAND,17
Cambridge,Cohort study,17
Cambridge,SUPERGAUGE TRANSFORMATIONS,17
Cambridge,flow chemistry,17
Cambridge,Biomarkers,17
Cambridge,MICROREACTOR,17
Cambridge,Models,17
Cambridge,Barrett's oesophagus,17
Cambridge,BIOMARKERS,17
Cambridge,REACTOR,16
Cambridge,INHIBITORS,16
Cambridge,COMPOSITES,16
Cambridge,MECHANICAL-PROPERTIES,16
Cambridge,LIGAND-BINDING,15
