ID,Name,Institution,Department
KK429,Kristina Kirschner,Cambridge,Department of Haematology
SDT36,Suzanne Turner,Cambridge,Department of Pathology
st321,Simon Tavare,Cambridge,Department of Oncology
RCF29,Rebecca Fitzgerald,Cambridge,Department of Oncology
immd0452,"ESASHI, Fumiko",Oxford,Pathology Dunn School
immd0082,"BUCKLE, Veronica",Oxford,RDM
immd0084,"SIMON, Anna K (Katja)",Oxford,NDM
PG336,Peter Goon,Cambridge,Department of Pathology
clab0247,"RABBITTS, Terence H (Terry)",Oxford,RDM
hert0418,"BODMER, Walter",Oxford,Oncology
raob0069,"VALLIS, Katherine A",Oxford,Oncology
bioc0208,"ZITZMANN, Nicole",Oxford,Biochemistry
BJPH2,Brian Huntly,Cambridge,Department of Haematology
CA26,Christopher Abell,Cambridge,Department of Chemistry
path0084,"UHLIG, Hans H (Holm)",Oxford,NDM
clme0195,"HIGGS, Douglas R",Oxford,RDM
MPFS1,Michael Sutcliffe,Cambridge,Department of Engineering
ERC24,Edwin Chilvers,Cambridge,Department of Medicine
kenn0163,"DUSTIN, Michael L (Mike)",Oxford,NDORMS
clme0193,"JACKSON, David G",Oxford,RDM
clme0219,"OGG, Graham",Oxford,RDM
bioc0804,"BROCKDORFF, Neil",Oxford,Biochemistry
bioc0801,"KLOSE, Robert J (Rob)",Oxford,Biochemistry
path0511,"JACOBSEN, Sten",Oxford,RDM
darby,"DARBY, Sarah C",Oxford,Nuffield Department of Population Health
PAWE1,Paul Edwards,Cambridge,Department of Pathology
GM290,Gillian Murphy,Cambridge,Department of Oncology
immd0075,"HUGHES, James R",Oxford,RDM
MN332,Masashi Narita,Cambridge,Cancer Research UK Cambridge Institute
card0025,"CHANNON, Keith M",Oxford,RDM
card0027,"WATKINS, Hugh C",Oxford,RDM
bioc0987,"NEWSTEAD, Simon L",Oxford,Biochemistry
path0041,"HANDFORD, Penelope A (Penny)",Oxford,Biochemistry
PJL30,Paul Lehner,Cambridge,Department of Medicine
clne0083,"ANSORGE, Olaf",Oxford,Clinical Neurosciences
clme0670,"MUSCHEL, Ruth J",Oxford,Oncology
MF364,Michaela Frye,Cambridge,Department of Genetics
MPA28,Maria Alcolea,Cambridge,MRC Cancer Unit
CF366,Christian Frezza,Cambridge,MRC Cancer Unit
immd0100,"DONG, Tao",Oxford,RDM
immd0106,"DORRELL, Lucy",Oxford,NDM
univ1102,"CHAPPELL, Michael A",Oxford,Engineering Science
RD439,Ronan Daly,Cambridge,Department of Engineering
cschof,"SCHOFIELD, Christopher J (Chris)",Oxford,Chemistry
AP113,Anna Philpott,Cambridge,Department of Oncology
path0636,"RAFF, Jordan",Oxford,Pathology Dunn School
SD642,Siddharth De,Cambridge,MRC Cancer Unit
stat0059,"BOWDEN, Rory J",Oxford,NDM
PL219,Pietro Lio,Cambridge,Computer Laboratory
raob0097,"HAMMOND, Ester M",Oxford,Oncology
stat0054,"HOLMES, Christopher C (Chris)",Oxford,NDM
raob0095,"CORNELISSEN, Bart",Oxford,Oncology
MD458,Michael Dyson,Cambridge,Department of Biochemistry
clne0013,"SMITH, Stephen",Oxford,Clinical Neurosciences
TO237,Takashi Ochi,Cambridge,Department of Biochemistry
ACA20,Antonis Antoniou,Cambridge,Department of Public Health and Primary Care
gree1620,"HIGGINS, Geoffrey",Oxford,Oncology
donc0136,"D'ANGIOLELLA, Vincenzo",Oxford,Oncology
SJG49,Simon Griffin,Cambridge,Department of Public Health and Primary Care
BDS10,Benjamin Simons,Cambridge,Department of Physics
MPS48,Michael Simmons,Cambridge,Department of Physics
engs0270,"TARASSENKO, Lionel",Oxford,Engineering Science
trin1371,"MAHADEVAN, Louis D",Oxford,Biochemistry
wadh1179,"VOETS, Natalie",Oxford,Clinical Neurosciences
KDH29,Karen Howarth,Cambridge,Department of Pathology
smlea,"LEA, Susan M",Oxford,Pathology Dunn School
phpc0367,"BUCHANAN, James R",Oxford,Nuffield Department of Population Health
zool0768,"MAGIORKINIS, Gkikas",Oxford,Zoology
JHG21,Jonathan Gillard,Cambridge,Department of Radiology
bioc0268,"BUTTERS, Terry",Oxford,Biochemistry
DRS36,David Spring,Cambridge,Department of Chemistry
SB10031,Shankar Balasubramanian,Cambridge,Department of Chemistry
SJB32,Sarah Bray,Cambridge,"Department of Physiology, Development and Neuroscience"
clme0485,"OPPERMANN, Udo CT",Oxford,NDORMS
AA461,Seyed Amin Al Olama,Cambridge,Department of Public Health and Primary Care
SB674,Sandra Blanco Benavente,Cambridge,Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute
clme0845,"GREEN, Jane M",Oxford,Nuffield Department of Population Health
SEB53,Sarah Bohndiek,Cambridge,Department of Physics
engs0475,"COUSSIOS, Constantin C",Oxford,Engineering Science
ndos0461,"HAMDY, Freddie C",Oxford,Surgical Sciences
path0002,"VAUX, David JT",Oxford,Pathology Dunn School
vacc0036,"KRIAUCIONIS, Skirmantas K",Oxford,NDM
clme0731,"BEVERLEY, Peter C",Oxford,NDM
PAZ20,Philip Zegerman,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
JT233,John Trowsdale,Cambridge,Department of Pathology
ctsu0052,"LANDRAY, Martin J",Oxford,Nuffield Department of Population Health
AB149,Andrew Bannister,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
HRM28,Helen Mott,Cambridge,Department of Biochemistry
bioc0541,"ANTHONY, Daniel CC",Oxford,Pharmacology
CFK23,Clemens Kaminski,Cambridge,Department of Chemical Engineering and Biotechnology
TB507,Tristan Barrett,Cambridge,Department of Radiology
whgu0256,"MOLE, David R",Oxford,NDM
cattc107,Peter Campbell,Cambridge,School of Clinical Medicine
DO202,Darerca Owen,Cambridge,Department of Biochemistry
MQD20,Ming-Qing Du,Cambridge,Department of Pathology
immd0023,"CERUNDOLO, Vincenzo",Oxford,RDM
immd0024,"VYAS, Paresh",Oxford,RDM
bioc0188,"LAKIN, Nicholas D",Oxford,Biochemistry
TIMM2,Timothy Malcolm,Cambridge,
mjg40,Martin Graves,Cambridge,Department of Radiology
phpc0084,"MANT, David",Oxford,Primary Care Health Sciences
DEN22,David Neal,Cambridge,Department of Surgery
ndos0168,"CARR, Andrew J (Andy)",Oxford,NDORMS
DEN25,David Nelson,Cambridge,Department of Pathology
clme1358,"BRENNAN, Paul E",Oxford,NDM
clme0946,"LU, Xin",Oxford,NDM
RJG74,Richard Gilbertson,Cambridge,Department of Oncology
dplb0149,"DAVIS, Benjamin G (Ben)",Oxford,Chemistry
HS310,Honglin Song,Cambridge,Department of Oncology
chem0068,"GOUVERNEUR, Veronique",Oxford,Chemistry
MPW1001,Michael Weekes,Cambridge,C.I.M.R. Medicine
JVF21,Josep Forment,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
FM319,Frank McCaughan,Cambridge,Department of Biochemistry
HCM29,Helen Morris,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
TDF21,Timothy Fryer,Cambridge,Department of Clinical Neurosciences
CEM45,Charles Massie,Cambridge,Cancer Research UK Cambridge Institute
clne0024,"JEZZARD, Peter",Oxford,Clinical Neurosciences
YJL26,Yingjun Liu,Cambridge,Department of Materials Science and Metallurgy
SVL1000,Steven Ley,Cambridge,Department of Chemistry
whgu0172,"KESSLER, Benedikt",Oxford,NDM
whgu0527,"CHAPMAN, J Ross",Oxford,NDM
GL290,Georgios Lyratzopoulos,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
CS681,Christine Schmidt,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
ctsu0385,"GNATIUC, Louisa",Oxford,Nuffield Department of Population Health
ARG1000,Anthony Green,Cambridge,Department of Haematology
MAG62,Mae Goldgraben,Cambridge,Department of Medical Genetics
immd0680,"SAUKA-SPENGLER, Tatjana",Oxford,RDM
DIJ21,Duncan Jodrell,Cambridge,Department of Oncology
AAS41,Ashwin Seshia,Cambridge,Department of Engineering
SCP46,Simon Pacey,Cambridge,Department of Oncology
claridge,"CLARIDGE, Timothy DW (Tim)",Oxford,Chemistry
IRB21,Ian Baxendale,Cambridge,Department of Chemistry
whgu0210,"MANCINI, Erika J",Oxford,NDM
raob0072,"SHARMA, Ricky A",Oxford,Oncology
SJP58,Stephen Price,Cambridge,Division of Neurosurgery
PAL34,Paul Lyons,Cambridge,C.I.M.R. Medicine
AB454,Andreas Bender,Cambridge,Department of Chemistry
KSL23,Kathryn Lilley,Cambridge,Department of Biochemistry
prhc0057,"NICHOLSON, Brian",Oxford,Primary Care Health Sciences
OAS23,Oren Scherman,Cambridge,Department of Chemistry
gree0184,"PETO, Richard",Oxford,Nuffield Department of Population Health
clme0169,"ALTMAN, Douglas G",Oxford,NDORMS
FR269,Frances Richards,Cambridge,Cancer Research UK Cambridge Institute
immd0180,"MACAULAY, Valentine",Oxford,Oncology
clab0025,"BANHAM, Alison H",Oxford,RDM
clme0832,"COLLINS, Gary S",Oxford,NDORMS
JIS30,Jonathan Sive,Cambridge,Cambridge Stem Cell Initiative (CSCI)
RK385,Ragnhildur Karadottir,Cambridge,Department of Veterinary Medicine
AMD3,Athene Donald,Cambridge,Department of Physics
card0039,"CHOUDHURY, Robin",Oxford,RDM
IJG25,Ian Groves,Cambridge,Department of Pathology
phys0101,"VAUGHAN-JONES, Richard D",Oxford,Physiology Anatomy & Genetics
newc0612,"RUSSELL, Angela J",Oxford,Pharmacology
clab0058,"MURPHY, Michael F",Oxford,Surgical Sciences
KH387,Katherine Hughes,Cambridge,Department of Veterinary Medicine
clme0667,"MCKENNA, William G (Gillies)",Oxford,Oncology
wolf1833,"FLASHMAN, Emily G",Oxford,Chemistry
ctsu0165,"BAIGENT, Colin N",Oxford,Nuffield Department of Population Health
DK10012,David Klenerman,Cambridge,Department of Chemistry
PP10001,Paul Pharoah,Cambridge,Department of Public Health and Primary Care
immd0700,"NERLOV, Claus",Oxford,RDM
phys0666,"SERYI, Andrei",Oxford,Physics
MLO29,Michelle Oyen,Cambridge,Department of Engineering
ndog0251,"AHMED, Ahmed A",Oxford,Obstetrics & Gynaecology
REG53,Raymond Goldstein,Cambridge,Department of Applied Mathematics and Theoretical Physics
fjg28,Fiona Gilbert,Cambridge,Department of Radiology
DSCJ1,David Charnock-Jones,Cambridge,Department of Obstetrics and Gynaecology
clme1544,"EGGELING, Christian (Eggeling)",Oxford,RDM
HME22,Helena Earl,Cambridge,Department of Oncology
whgu0139,"COLEMAN, Mathew (Matthew)",Oxford,NDM
LSI10,Laura Itzhaki,Cambridge,Department of Pharmacology
FO210,Feride Oeztuerk-Winder,Cambridge,Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute
DJL15,David Lomas,Cambridge,Department of Radiology
JLG40,Julian Griffin,Cambridge,Department of Biochemistry
raob0182,"EBNER, Daniel V",Oxford,NDM
CC234,Carlos Caldas,Cambridge,Department of Oncology
bioc0647,"NASMYTH, Kim A",Oxford,Biochemistry
immd0237,"RATCLIFFE, Peter J",Oxford,NDM
KO268,Katrin Ottersbach,Cambridge,C.I.M.R. Haematology
VMD20,Viji Draviam Sastry,Cambridge,Department of Genetics
clar0295,"PEACH, Kenneth J (Ken)",Oxford,Physics
whgu0142,"BULLOCK, Alexander N (Alex)",Oxford,NDM
clme0240,"PUGH, Christopher W (Chris)",Oxford,NDM
LP212,Luca Pellegrini,Cambridge,Department of Biochemistry
KMB1001,Kevin Brindle,Cambridge,Department of Biochemistry
DHR25,David Rowitch,Cambridge,Department of Paediatrics
immd0330,"SCHUH, Annette H (Anna)",Oxford,Oncology
clab0101,"PELLAGATTI, Andrea",Oxford,RDM
SSL30,Siong-Seng Liau,Cambridge,Department of Surgery
ELR21,Emma Rawlins,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
chri0963,"SWIETACH, Pawel",Oxford,Physiology Anatomy & Genetics
ndos0532,"BRYANT, Richard J",Oxford,Surgical Sciences
VJG29,Vincent Gnanapragasam,Cambridge,Department of Surgery
JMD1000,Jane Dobson,Cambridge,Department of Veterinary Medicine
GIE20,Gerard Evan,Cambridge,Department of Biochemistry
MDT33,Marc Tischkowitz,Cambridge,Department of Medical Genetics
cm666,Carla Pedro Martins,Cambridge,MRC Cancer Unit
jgd29,Joseph Dennis,Cambridge,Department of Oncology Student
REC11,Ruth Cameron,Cambridge,Department of Materials Science and Metallurgy
DMG25,David Glover,Cambridge,Department of Genetics
whgu0085,"RAGOUSSIS, Ioannis",Oxford,NDM
univ0247,"PEARS, Catherine J",Oxford,Biochemistry
prhc0003,"HOBBS, Frederick DR (Richard)",Oxford,Primary Care Health Sciences
ndog0115,"MORTEN, Karl",Oxford,Obstetrics & Gynaecology
clme0621,"BUCHAN, Alastair M",Oxford,Medical Sciences Division
clme0237,"TAYLOR, Jenny C",Oxford,NDM
FM327,Florian Markowetz,Cambridge,Cancer Research UK Cambridge Institute
bioc0416,"SIBSON, Nicola R",Oxford,Oncology
awatts,"WATTS, Anthony",Oxford,Biochemistry
JDB1003,James Brenton,Cambridge,Cancer Research UK Cambridge Institute
gree0989,"BERAL, Valerie",Oxford,Nuffield Department of Population Health
immd0151,"KNIGHT, Samantha J (Sam)",Oxford,NDM
EL422,Elisa Laurenti,Cambridge,Department of Haematology
gm263,Gos Micklem,Cambridge,Department of Genetics
EJB60,Elizabeth Baxter,Cambridge,Department of Haematology
KBK21,Karoline Kuchenbaecker,Cambridge,Department of Public Health and Primary Care
path0107,"FURGER, Andre M",Oxford,Biochemistry
bioc0192,"ROBSON, Matthew D",Oxford,RDM
ndos0159,"TRIFFITT, James T",Oxford,NDORMS
x_b03,Wolf Reik,Cambridge,Babraham Institute
raob0189,"KILTIE, Anne E",Oxford,Oncology
ARV22,Ashok Venkitaraman,Cambridge,Department of Oncology
whgu0408,"LEEDHAM, Simon",Oxford,NDM
NAW27,Nicholas Walton,Cambridge,Institute of Astronomy
clne0102,"JENKINSON, Mark",Oxford,Clinical Neurosciences
bioc1078,"BARR, Francis A",Oxford,Biochemistry
bras2068,"WARREN, Daniel R",Oxford,Oncology
ERM1000,Eamonn Maher,Cambridge,Department of Medical Genetics
TLB20,Tom Blundell,Cambridge,Department of Biochemistry
