Source,Target,Weight,Publication Type,Publication Name,Title,Co-authors,Keywords
ACA20,NJW1004,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
DFE20,NJW1004,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
KK101,NJW1004,0.111111111111,Journal article,International Journal of Cancer,Alteration of amino acid and biogenic amine metabolism in hepatobiliary cancers: Findings from a prospective cohort study,"Stepien M, Duarte-Salles T, Fedirko V, Floegel A, Barupal DK, Rinaldi S, Achaintre D, Assi N, Tjønneland A, Overvad K",[]
UFK20,JJB12,0.333333333333,Journal article,Applied Physics Letters,Perpendicular coupling to in-plane photonics using arc waveguides fabricated via two-photon polymerization,"Lee CW, Pagliara S, Keyser U, Baumberg JJ",[]
UFK20,JJB12,0.166666666667,Journal article,Nature Communications,DNA origami based assembly of gold nanoparticle dimers for surface-enhanced Raman scattering,"Thacker VV, Herrmann LO, Sigle DO, Zhang T, Liedl T, Baumberg JJ, Keyser UF",[]
GIE20,TDL2,0.333333333333,Journal article,0,The estrogen receptor fusion system in mouse models: a reversible switch.,"Whitfield J, Littlewood T, Evan GI, Soucek L","[u'Animals', u'Mice', u'Tamoxifen', u'Receptors', u'Estrogen', u'Recombinant Fusion Proteins', u'Models', u'Animal', u'Gene Expression Regulation']"
JHG21,mjg40,0.2,Journal article,Journal of Cardiovascular Magnetic Resonance,Optimization of improved motion-sensitized driven-equilibrium (iMSDE) blood suppression for carotid artery wall imaging,"Zhu C, Graves MJ, Yuan J, Sadat U, Gillard JH, Patterson AJ",[]
KK101,NJW1004,0.111111111111,Journal article,European Heart Journal,"Inflammatory biomarkers, physical activity, waist circumference, and risk of future coronary heart disease in healthy men and women","Rana JS, Arsenault BJ, Després JP, Côté M, Talmud PJ, Ninio E, Wouter Jukema J, Wareham NJ, Kastelein JJP, Khaw KT",[]
NGB21,MAP1001,0.111111111111,Conference,Journal of Clinical Oncology,Accuracy of manual and automated rectal contours using helical tomotherapy image guidance scans during prostate radiotherapy.,"Scaife JE, Harrison K, Drew A, Cai X, Lee J, Schonlieb C-B, Sutcliffe M, Parker MA, Freeman S, Romanchikova M",[]
DIJ21,JG477,0.111111111111,Journal article,British Journal of Cancer,Gemcitabine diphosphate choline is a major metabolite linked to the Kennedy pathway in pancreatic cancer models in vivo,"Bapiro TE, Frese KK, Courtin A, Bramhall JL, Madhu B, Cook N, Neesse A, Griffiths JR, Tuveson DA, Jodrell DI",[]
KK101,NJW1004,0.111111111111,Journal article,European Journal of Cancer,Genetic variability of the fatty acid synthase pathway is not associated with prostate cancer risk in the European Prospective Investigation on Cancer (EPIC),"Campa D, Hüsing A, Chang-Claude J, Dostal L, Boeing H, Kröger J, Tjønneland A, Roswall N, Overvad K, Dahm CC",[]
AHG13,GMT11,0.2,Journal article,PLoS One,Targeted Regeneration of Bone in the Osteoporotic Human Femur,"Poole KES, Treece GM, Ridgway GR, Mayhew PM, Borggrefe J, Gee AH","[u'REGISTRATION', u'DENSITY']"
PP10001,HS310,0.111111111111,Journal article,Molecular Nutrition and Food Research,Consortium analysis of gene and gene-folate interactions in purine and pyrimidine metabolism pathways with ovarian carcinoma risk,"Kelemen LE, Terry KL, Goodman MT, Webb PM, Bandera EV, McGuire V, Rossing MA, Wang Q, Dicks E, Tyrer JP","[u'Case-control', u'Dihydropyrimidine dehydrogenase', u'Folate', u'Polymorphism', u'Serine hydroxymethyltransferase 1 (soluble)']"
REC11,CJW53,0.166666666667,Journal article,Acta Biomaterialia,Biomimetic collagen scaffolds with anisotropic pore architecture,"Davidenko N, Gibb T, Schuster C, Best SM, Campbell JJ, Watson CJ, Cameron RE",[]
CC234,MDT33,0.111111111111,Journal article,Gastrointestinal Endoscopy,Prospective cohort study assessing outcomes of patients from families fulfilling criteria for hereditary diffuse gastric cancer undergoing endoscopic surveillance,"Lim YC, di Pietro M, O'Donovan M, Richardson S, Debiram I, Dwerryhouse S, Hardwick RH, Tischkowitz M, Caldas C, Ragunath K",[]
CC234,RCF29,0.111111111111,Journal article,Gastrointestinal Endoscopy,Prospective cohort study assessing outcomes of patients from families fulfilling criteria for hereditary diffuse gastric cancer undergoing endoscopic surveillance,"Lim YC, di Pietro M, O'Donovan M, Richardson S, Debiram I, Dwerryhouse S, Hardwick RH, Tischkowitz M, Caldas C, Ragunath K",[]
MDT33,RCF29,0.111111111111,Journal article,Gastrointestinal Endoscopy,Prospective cohort study assessing outcomes of patients from families fulfilling criteria for hereditary diffuse gastric cancer undergoing endoscopic surveillance,"Lim YC, di Pietro M, O'Donovan M, Richardson S, Debiram I, Dwerryhouse S, Hardwick RH, Tischkowitz M, Caldas C, Ragunath K",[]
st321,SJB32,0.333333333333,Journal article,Annals of Applied Statistics,Bayesian clustering of replicated time-course gene expression data with weak signals,"Fu AQ, Russell S, Bray SJ, Tavaré S",[]
BG200,JIS30,0.111111111111,Journal article,Leukemia,Bivalent promoter marks and a latent enhancer may prime the leukaemia oncogene LMO1 for ectopic expression in T-cell leukaemia,"Oram SH, Thoms J, Sive JI, Calero-Nieto FJ, Kinston SJ, Schütte J, Knezevic K, Lock RB, Pimanda JE, Göttgens B",[]
PP10001,HS310,0.111111111111,Journal article,Nature Communications,Epigenetic analysis leads to identification of HNF1B as a subtype-specific susceptibility gene for ovarian cancer,"Shen H, Fridley BL, Song H, Lawrenson K, Cunningham JM, Ramus SJ, Cicek MS, Tyrer J, Stram D, Larson MC",[]
PP10001,DFE20,0.111111111111,Journal article,Nature Communications,Epigenetic analysis leads to identification of HNF1B as a subtype-specific susceptibility gene for ovarian cancer,"Shen H, Fridley BL, Song H, Lawrenson K, Cunningham JM, Ramus SJ, Cicek MS, Tyrer J, Stram D, Larson MC",[]
HS310,DFE20,0.111111111111,Journal article,Nature Communications,Epigenetic analysis leads to identification of HNF1B as a subtype-specific susceptibility gene for ovarian cancer,"Shen H, Fridley BL, Song H, Lawrenson K, Cunningham JM, Ramus SJ, Cicek MS, Tyrer J, Stram D, Larson MC",[]
PP10001,HS310,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
PP10001,ACA20,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
PP10001,DFE20,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
HS310,ACA20,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
HS310,DFE20,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
ACA20,DFE20,0.111111111111,Journal article,Nature Communications,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,"Permuth-Wey J, Lawrenson K, Shen HC, Velkova A, Tyrer JP, Chen Z, Lin HY, Ann Chen Y, Tsai YY, Qu X",[]
PP10001,HS310,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
PP10001,QG209,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
PP10001,DFE20,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
PP10001,JDB1003,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
PP10001,jgd29,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
HS310,QG209,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
HS310,DFE20,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
HS310,JDB1003,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
HS310,jgd29,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
QG209,DFE20,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
QG209,JDB1003,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
QG209,jgd29,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
DFE20,JDB1003,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
DFE20,jgd29,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
JDB1003,jgd29,0.111111111111,Journal article,Nature Genetics,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer,"Pharoah PDP, Tsai YY, Ramus SJ, Phelan CM, Goode EL, Lawrenson K, Buckley M, Fridley BL, Tyrer JP, Shen H",[]
AMD24,PP10001,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
AMD24,DFE20,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
AMD24,jgd29,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
PP10001,DFE20,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
PP10001,jgd29,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
DFE20,jgd29,0.111111111111,Journal article,Human Molecular Genetics,Common genetic determinants of breast-cancer risk in east asian women: A collaborative study of 23 637 breast cancer cases and 25 579 controls,"Zheng W, Zhang B, Cai Q, Sung H, Michailidou K, Shi J, Choi JY, Long J, Dennis J, Humphreys MK",[]
SVL1000,RMM32,0.333333333333,Journal article,0,The Evolution of Immobilized Reagents and their Application in Flow Chemistry for the Synthesis of Natural Products and Pharmaceutical Compounds,"Myers RM, Roper KA, Baxendale IR, Ley SV",[]
DEN22,AA461,0.111111111111,Journal article,Human Molecular Genetics,Genome-wide association study identifies new prostate cancer susceptibility loci,"Schumacher FR, Berndt SI, Siddiq A, Jacobs KB, Wang ZM, Lindstrom S, Stevens VL, Chen C, Mondul AM, Travis RC","[u'RISK-ASSOCIATED LOCI', u'AGGRESSIVENESS LOCI', u'SEQUENCE VARIANTS', u'COMMON VARIANT', u'MULTIPLE LOCI', u'SCAN', u'GENE', u'8Q24', u'REPLICATION', u'SURVIVAL']"
DEN22,DFE20,0.111111111111,Journal article,Human Molecular Genetics,Genome-wide association study identifies new prostate cancer susceptibility loci,"Schumacher FR, Berndt SI, Siddiq A, Jacobs KB, Wang ZM, Lindstrom S, Stevens VL, Chen C, Mondul AM, Travis RC","[u'RISK-ASSOCIATED LOCI', u'AGGRESSIVENESS LOCI', u'SEQUENCE VARIANTS', u'COMMON VARIANT', u'MULTIPLE LOCI', u'SCAN', u'GENE', u'8Q24', u'REPLICATION', u'SURVIVAL']"
AA461,DFE20,0.111111111111,Journal article,Human Molecular Genetics,Genome-wide association study identifies new prostate cancer susceptibility loci,"Schumacher FR, Berndt SI, Siddiq A, Jacobs KB, Wang ZM, Lindstrom S, Stevens VL, Chen C, Mondul AM, Travis RC","[u'RISK-ASSOCIATED LOCI', u'AGGRESSIVENESS LOCI', u'SEQUENCE VARIANTS', u'COMMON VARIANT', u'MULTIPLE LOCI', u'SCAN', u'GENE', u'8Q24', u'REPLICATION', u'SURVIVAL']"
GIE20,NMS39,0.111111111111,Journal article,eLife,A component of the mir-17-92 polycistronic oncomir promotes oncogene-dependent apoptosis,"Olive V, Sabio E, Bennett MJ, De Jong CS, Biton A, McGann JC, Greaney SK, Sodir NM, Zhou AY, Balakrishnan A",[]
TLB20,CA26,0.111111111111,Journal article,Acta Crystallographica Section D: Biological Crystallography,Threonine 57 is required for the post-translational activation of Escherichia coli aspartate alpha-decarboxylase,"Webb ME, Yorke BA, Kershaw T, Lovelock S, Lobley CMC, Kilkenny ML, Smith AG, Blundell TL, Pearson AR, Abell C",[]
PP10001,GL290,0.166666666667,Conference,Journal of Medical Genetics,Public health implications of personalised screening for cancer: The First Collaborative Oncological Gene-environment Study (COGS) Workshop findings,"Chowdhury S, Pashayan N, Hall A, Dent T, Lyratzopoulos G, Pharoah P, Burton H",[]
AB149,BG200,0.111111111111,Journal article,Onkologie: international journal for cancer research and treatment,Genome-wide analysis of transcriptional reprogramming in mouse models of acute myeloid leukaemia,"Bonadies N, Foster SD, Chan WI, Kvinlaug BT, Spensberger D, Dawson MA, Spooncer E, Whetton AD, Bannister AJ, Huntly BJ",[]
AB149,BJPH2,0.111111111111,Journal article,Onkologie: international journal for cancer research and treatment,Genome-wide analysis of transcriptional reprogramming in mouse models of acute myeloid leukaemia,"Bonadies N, Foster SD, Chan WI, Kvinlaug BT, Spensberger D, Dawson MA, Spooncer E, Whetton AD, Bannister AJ, Huntly BJ",[]
BG200,BJPH2,0.111111111111,Journal article,Onkologie: international journal for cancer research and treatment,Genome-wide analysis of transcriptional reprogramming in mouse models of acute myeloid leukaemia,"Bonadies N, Foster SD, Chan WI, Kvinlaug BT, Spensberger D, Dawson MA, Spooncer E, Whetton AD, Bannister AJ, Huntly BJ",[]
CC234,AG229,0.25,Journal article,RNA,Double-stranded microRNA mimics can induce length-and passenger strand-dependent effects in a cell type-specific manner,"Goldgraben MA, Russell R, Rueda OM, Caldas C, Git A",[]
VJG29,DEN22,0.25,Conference,British Journal of Urology (BJU) International,MANAGING THE DIFFICULT URETERIC ORIFICE - A NOVEL TECHNIQUE FOR URETERIC STENTING,"Thomas BC, Shaw GS, Gnanapragasam VJ, Neal DE, Shah NC",[]
TGQE2,ERM1000,0.5,Journal article,Nature Reviews: Cancer,"VHL, the story of a tumour suppressor gene","Gossage L, Eisen T, Maher ER",[]
PP10001,JDB1003,0.111111111111,Journal article,British Journal of Cancer,Evidence for a time-dependent association between FOLR1 expression and survival from ovarian carcinoma: Implications for clinical testing. An Ovarian Tumour Tissue Analysis consortium study,"Köbel M, Madore J, Ramus SJ, Clarke BA, Pharoah PDP, Deen S, Bowtell DD, Odunsi K, Menon U, Morrison C",[]
ARG1000,cattc107,0.111111111111,Journal article,Cell,Massive Genomic Rearrangement Acquired in a Single Catastrophic Event during Cancer Development,"Stephens PJ, Greenman CD, Fu BY, Yang FT, Bignell GR, Mudie LJ, Pleasance ED, Lau KW, Beare D, Stebbings LA","[u'CELL LUNG-CANCER', u'PANCREATIC-CANCER', u'TUMOR-SUPPRESSOR', u'MUTATIONS', u'EVOLUTION', u'INSTABILITY', u'SIGNATURES', u'RESOLUTION', u'SEQUENCE']"
KK101,NJW1004,0.333333333333,Journal article,Bone,C-reactive protein and fracture risk: European Prospective Investigation into Cancer Norfolk Study,"Ahmadi-Abhari S, Luben RN, Wareham NJ, Khaw KT",[]
KK101,NJW1004,0.333333333333,Journal article,European Journal of Public Health,Association of C-reactive protein with risk of all-cause and cardiovascular disease mortality: European Prospective Investigation into Cancer Norfolk Study,"Ahmadi-Abhari S, Luben R, Wareham NJ, Khaw KT",[]
KK101,NJW1004,0.111111111111,Journal article,Human Molecular Genetics,A meta-analysis of 120 246 individuals identifies 18 new loci for fibrinogen concentration,"De Vries PS, Chasman DI, Sabater-Lleal M, Chen MH, Huffman JE, Steri M, Tang W, Teumer A, Marioni RE, Grossmann V",[]
NC109,MJM16,0.125,Journal article,"Cancer Epidemiology, Biomarkers and Prevention",Solid Tumors of Childhood Display Specific Serum microRNA Profiles,"Murray MJ, Raby KL, Saini HK, Bailey S, Wool SV, Tunnacliffe JM, Enright AJ, Nicholson JC, Coleman N",[]
CW209,SJP58,0.333333333333,Conference,Neuro-Oncology,A SINGLE CENTRE CASE CONTROL STUDY OF THE EFFICACY AND SAFETY OF 5-AMINOLEVULINIC ACID GUIDED RESECTIONS OF GRADE IV (WHO) GLIOBLASTOMAS,"Bruch JD, Ho J, Watts C, Price SJ",[]
MEW10,MMO25,0.2,Journal article,Colloids and Surfaces B: Biointerfaces,Serum protein layers on parylene-C and silicon oxide: Effect on cell adhesion,"Delivopoulos E, Ouberai MM, Coffey PD, Swann MJ, Shakesheff KM, Welland ME",[]
PG336,MAS1001,0.125,Journal article,BMC Cancer,High prevalence of HPV in non-cervical sites of women with abnormal cervical cytology,"Crawford R, Grignon AL, Kitson S, Winder DM, Ball SLR, Vaughan K, Stanley MA, Sterling JC, Goon PKC","[u'HUMAN-PAPILLOMAVIRUS INFECTION', u'INTRAEPITHELIAL NEOPLASIA', u'NEGATIVE WOMEN', u'RISK-FACTORS', u'CANCER', u'COHORT', u'ACQUISITION', u'LESIONS']"
AMD24,PP10001,0.111111111111,Journal article,Journal of the National Cancer Institute,Prediction of breast cancer risk based on profiling with common genetic variants,"Mavaddat N, Pharoah PDP, Michailidou K, Tyrer J, Brook MN, Bolla MK, Wang Q, Dennis J, Dunning AM, Shah M",[]
AMD24,DFE20,0.111111111111,Journal article,Journal of the National Cancer Institute,Prediction of breast cancer risk based on profiling with common genetic variants,"Mavaddat N, Pharoah PDP, Michailidou K, Tyrer J, Brook MN, Bolla MK, Wang Q, Dennis J, Dunning AM, Shah M",[]
PP10001,DFE20,0.111111111111,Journal article,Journal of the National Cancer Institute,Prediction of breast cancer risk based on profiling with common genetic variants,"Mavaddat N, Pharoah PDP, Michailidou K, Tyrer J, Brook MN, Bolla MK, Wang Q, Dennis J, Dunning AM, Shah M",[]
KK101,NJW1004,0.111111111111,Journal article,International Journal of Cancer,Body iron status and gastric cancer risk in the EURGAST study,"Fonseca-Nunes A, Agudo A, Aranda N, Arija V, Cross AJ, Molina E, Sanchez MJ, Bueno-De-Mesquita HB, Siersema P, Weiderpass E",[]
PP10001,DEN22,0.125,Journal article,British Journal of Cancer,Polygenic susceptibility to prostate and breast cancer: implications for personalised screening,"Pashayan N, Duffy SW, Chowdhury S, Dent T, Burton H, Neal DE, Easton DF, Eeles R, Pharoah P","[u'polygenic risk', u'personalised screening', u'breast cancer', u'prostate cancer', u'GENOME-WIDE ASSOCIATION', u'5 GENETIC-VARIANTS', u'CONFER SUSCEPTIBILITY', u'CLINICOPATHOLOGICAL CHARACTERISTICS', u'CUMULATIVE ASSOCIATION', u'COMMON VARIANTS', u'RISK PREDICTION', u'MULTIPLE LOCI', u'MORTALITY', u'OVERDIAGNOSIS']"
PP10001,DFE20,0.125,Journal article,British Journal of Cancer,Polygenic susceptibility to prostate and breast cancer: implications for personalised screening,"Pashayan N, Duffy SW, Chowdhury S, Dent T, Burton H, Neal DE, Easton DF, Eeles R, Pharoah P","[u'polygenic risk', u'personalised screening', u'breast cancer', u'prostate cancer', u'GENOME-WIDE ASSOCIATION', u'5 GENETIC-VARIANTS', u'CONFER SUSCEPTIBILITY', u'CLINICOPATHOLOGICAL CHARACTERISTICS', u'CUMULATIVE ASSOCIATION', u'COMMON VARIANTS', u'RISK PREDICTION', u'MULTIPLE LOCI', u'MORTALITY', u'OVERDIAGNOSIS']"
DEN22,DFE20,0.125,Journal article,British Journal of Cancer,Polygenic susceptibility to prostate and breast cancer: implications for personalised screening,"Pashayan N, Duffy SW, Chowdhury S, Dent T, Burton H, Neal DE, Easton DF, Eeles R, Pharoah P","[u'polygenic risk', u'personalised screening', u'breast cancer', u'prostate cancer', u'GENOME-WIDE ASSOCIATION', u'5 GENETIC-VARIANTS', u'CONFER SUSCEPTIBILITY', u'CLINICOPATHOLOGICAL CHARACTERISTICS', u'CUMULATIVE ASSOCIATION', u'COMMON VARIANTS', u'RISK PREDICTION', u'MULTIPLE LOCI', u'MORTALITY', u'OVERDIAGNOSIS']"
SJG49,NJW1004,0.111111111111,Journal article,PLoS Genetics,Meta-Analysis of Genome-Wide Association Studies in African Americans Provides Insights into the Genetic Architecture of Type 2 Diabetes,"Ng MCY, Shriner D, Chen BH, Li J, Chen WM, Guo X, Liu J, Bielinski SJ, Yanek LR, Nalls MA",[]
SVL1000,RMM32,0.333333333333,Journal article,Angewandte Chemie International Edition,Organic Synthesis: March of the Machines,"Ley SV, Fitzpatrick DE, Ingham RJ, Myers RM",[]
KK101,NJW1004,0.111111111111,Journal article,International Journal of Cancer,"Plasma and dietary carotenoids and vitamins A, C and e and risk of colon and rectal cancer in the European Prospective Investigation into Cancer and Nutrition","Leenders M, Leufkens AM, Siersema PD, Van Duijnhoven FJB, Vrieling A, Hulshof PJM, Van Gils CH, Overvad K, Roswall N, Kyrø C",[]
