Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
clme0439,corp0784,7,1.0930555555555554,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,Science|Nature Immunology|Journal of Structural Biology|Developmental Cell|Nature Structural and Molecular Biology|Science|PLoS Biology,01/01/2013||06/05/2011|01/01/2011|10/07/2011|01/01/2011|01/01/2011,Structure of the Repulsive Guidance Molecule (RGM)-neogenin signaling hub|Initiation of T cell signaling by CD45 segregation at 'close contacts'.|Automation of large scale transient protein expression in mammalian cells.|Structural and functional studies of LRP6 ectodomain reveal a platform for Wnt signaling|Modular mechanism of Wnt signaling inhibition by Wnt inhibitory factor 1.|Proteoglycan-Specific Molecular Switch for RPTPσ Clustering and Neuronal Extension|A dual binding mode for RhoGTPases in plexin signalling,"Bell CH,Healey E,van Erp S,Bishop B,Tang C,Gilbert RJC,Aricescu AR,Pasterkamp RJ,Siebold C|Chang VT,Fernandes RA,Ganzinger KA,Lee SF,Siebold C,McColl J,Jönsson P,Palayret M,Harlos K,Coles CH,Jones EY,Lui Y,Huang E,Gilbert RJ,Klenerman D,Aricescu AR,Davis SJ|Zhao Y,Bishop B,Clay JE,Lu W,Jones M,Daenke S,Siebold C,Stuart DI,Jones EY,Aricescu AR|Chen S,Bubeck D,MacDonald BT,Liang WX,Mao JH,Malinauskas T,Llorca O,Aricescu AR,Siebold C,He X,Jones EY|Malinauskas T,Aricescu AR,Lu W,Siebold C,Jones EY|Coles CH,Shen Y,Tenney AP,Siebold C,Sutton GC,Lu W,Gallagher JT,Jones EY,Flanagan JG,Aricescu AR|Bell CH,Aricescu AR,Jones EY,Siebold C","||Automation,Laboratory,Cell Culture Techniques,DNA,Circular,HEK293 Cells,Hedgehog Proteins,Humans,Plasmids,Recombinant Proteins,Transfection||Adaptor Proteins,Signal Transducing,Amino Acid Motifs,Binding Sites,Glycosaminoglycans,HEK293 Cells,Humans,Lipid Metabolism,Models,Molecular,Protein Folding,Protein Structure,Tertiary,Repressor Proteins,Signal Transduction,Wnt Proteins||"
ocms0037,stat0004,1,0.07142857142857142,Journal article,Haematologica: the hematology journal,28/05/2013,Homozygous mutations in a predicted endonuclease are a novel cause of congenital dyserythropoietic anemia type I.,"Babbs C,Roberts NA,Sanchez-Pulido L,McGowan SJ,Ahmed MR,Brown JM,Sabry MA,WGS500 Consortium,Bentley DR,McVean GA,Donnelly P,Gileadi O,Ponting CP,Higgs DR,Buckle VJ","Anemia,Dyserythropoietic,Congenital,Endonucleases,Female,Glycoproteins,Homozygote,Humans,Male,Mutation,Missense,Pedigree,Predictive Value of Tests,Protein Structure,Secondary,Tertiary"
newc0612,raob0097,1,0.0625,Journal article,Journal of Medicinal Chemistry,21/03/2013,"Optimization of 3,5-dimethylisoxazole derivatives as potent bromodomain ligands.","Hewings DS,Fedorov O,Filippakopoulos P,Martin S,Picaud S,Tumber A,Wells C,Olcina MM,Freeman K,Gill A,Ritchie AJ,Sheppard DW,Russell AJ,Hammond EM,Knapp S,Brennan PE,Conway SJ","Acetylation,CREB-Binding Protein,Cell Line,Tumor,Crystallography,X-Ray,Histones,Humans,Inhibitory Concentration 50,Isoxazoles,Ligands,Lysine,Nuclear Proteins,Protein Binding,Structure-Activity Relationship,Transcription Factors"
clab0127,raob0047,1,0.2,Journal article,Cell Death and Differentiation,29/08/2014,Cofactor Strap regulates oxidative phosphorylation and mitochondrial p53 activity through ATP synthase.,"Maniam S,Coutts AS,Stratford MR,McGouran J,Kessler B,La Thangue NB","Hela Cells,Mitochondria,Humans,Mitochondrial Proton-Translocating ATPases,Glucose,Neoplasm Proteins,Apoptosis,Oxidative Phosphorylation,Oxygen Consumption,Tumor Suppressor Protein p53,Transcriptional Activation"
raob0128,xxxx0009,1,0.3333333333333333,Journal article,Physics in Medicine and Biology,14/05/2015,Improved calibration of mass stopping power in low density tissue for a proton pencil beam algorithm.,"Warren DR,Partridge M,Hill MA,Peach K","Humans,Carcinoma,Non-Small-Cell Lung,Lung Neoplasms,Tomography,X-Ray Computed,Radiotherapy Dosage,Radiotherapy Planning,Computer-Assisted,Calibration,Monte Carlo Method,Phantoms,Imaging,Algorithms,Proton Therapy"
chem0068,raob0087,4,0.3727272727272728,Journal article|Journal article|Journal article|Conference paper,Journal of Nuclear Medicine|Metallomics: integrated biometal science|PLoS One|Journal of Labelled Compounds and Radiopharmaceuticals,12/12/2013|13/03/2015|01/01/2011|01/02/2013,"A comparison of the behavior of (64)Cu-acetate and (64)Cu-ATSM in vitro and in vivo.|A dual radiolabelling approach for tracking metal complexes: investigating the speciation of copper bis(thiosemicarbazonates) in vitro and in vivo.|Hypoxia imaging using PET and SPECT: the effects of anesthetic and carrier gas on [Cu]-ATSM, [Tc]-HL91 and [F]-FMISO tumor hypoxia accumulation.|Imaging of hypoxia using CuATSM","Hueting R,Kersemans V,Cornelissen B,Tredwell M,Hussien K,Christlieb M,Gee AD,Passchier J,Smart SC,Dilworth JR,Gouverneur V,Muschel RJ|Hueting R,Kersemans V,Tredwell M,Cornelissen B,Christlieb M,Gee AD,Passchier J,Smart SC,Gouverneur V,Muschel RJ,Dilworth JR|Kersemans V,Cornelissen B,Hueting R,Tredwell M,Hussien K,Allen PD,Falzone N,Hill SA,Dilworth JR,Gouverneur V,Muschel RJ,Smart SC|Hueting R,Kersemans V,Cornelissen B,Tredwell M,Hussien K,Christlieb M,Gee AD,Passchier J,Smart SC,Dilworth JR,Gouverneur V,Muschel RJ","64Cu-ATSM,64Cu-acetate,copper metabolism,hypoxia,Acetates,Animals,Anoxia,Cell Line,Tumor,Copper,Copper Radioisotopes,Female,Humans,Immunohistochemistry,Mice,Inbred CBA,Neoplasm Transplantation,Organometallic Compounds,Oxygen,Positron-Emission Tomography,Prognosis,Thiosemicarbazones,Time Factors|Cell Line,Animals,Humans,Mice,Neoplasms,Anoxia,Copper Radioisotopes,Organometallic Compounds,Thiosemicarbazones,Positron-Emission Tomography,Tomography,Emission-Computed,Single-Photon,Tissue Distribution,Female|Adenocarcinoma,Anesthesia,Animals,Anoxia,Copper Radioisotopes,Female,Fluorine Radioisotopes,Gases,Mice,Inbred CBA,Misonidazole,Muscles,Neoplasms,Experimental,Organometallic Compounds,Organotechnetium Compounds,Oxygen,Positron-Emission Tomography,Radiation-Sensitizing Agents,Radiopharmaceuticals,Thiosemicarbazones,Tissue Distribution,Tomography,Emission-Computed,Single-Photon|"
immd0084,whgu0172,1,0.05555555555555555,Journal article,Cell death discovery,20/11/2015,Autophagy limits proliferation and glycolytic metabolism in acute myeloid leukemia.,"Watson AS,Riffelmacher T,Stranks A,Williams O,De Boer J,Cain K,MacFarlane M,McGouran J,Kessler B,Khandwala S,Chowdhury O,Puleston D,Phadwal K,Mortensen M,Ferguson D,Soilleux E,Woll P,Jacobsen SE,Simon AK",
immd0024,ndos0168,1,0.03333333333333333,Journal article,Blood,06/12/2014,Functional and Genetic Heterogeneity of Distinct Leukemic Stem Cell Populations in CD34-Human Acute Myeloid Leukemia,"Quek L,Otto G,Garnett C,Lhermitte L,Lau I-J,Karamitros D,Doondeea J,Usukhbayar B,Goardon N,Ivey A,Gu Y,Allen CG,Gale RE,Davies B,Sternberg A,Killick S,Hunter H,Cahalin P,Price A,Carr A,Griffiths M,Virgo P,Mackinnon S,Grimwade D,Freeman SD,Russell N,Craddock C,Mead A,Peniket A,Porcher C,Vyas P",
clme0149,clme1037,1,1.0,Journal article,New England Journal of Medicine,06/11/2013,Mutant prolactin receptor and familial hyperprolactinemia,Newey PJ,
clab0127,clme0220,2,0.25,Journal article|Journal article,Oncogene|Oncogene,01/01/2011|30/05/2011,Hypoxia-driven cell motility reflects the interplay between JMY and HIF-1α|Hypoxia-driven cell motility reflects the interplay between JMY and HIF-1α.,"Coutts AS,Pires IM,Weston L,Buffa FM,Milani M,Li JL,Harris AL,Hammond EM,La Thangue NB|Coutts AS,Pires IM,Weston L,Buffa FM,Milani M,Li JL,Harris AL,Hammond EM,La Thangue NB","|Base Sequence,Cell Hypoxia,Humans,Hypoxia-Inducible Factor 1,alpha Subunit,Molecular Sequence Data,Nuclear Proteins,Promoter Regions,Genetic,Trans-Activators"
clab0025,smlea,1,0.0625,Journal article,Journal of Biological Chemistry,21/01/2013,Molecular basis for Jagged-1/Serrate ligand recognition by the Notch receptor.,"Whiteman P,de Madrid BH,Taylor P,Li D,Heslop R,Viticheep N,Tan JZ,Shimizu H,Callaghan J,Masiero M,Li JL,Banham AH,Harris AL,Lea SM,Redfield C,Baron M,Handford PA","Amino Acid Sequence,Animals,Antibodies,Monoclonal,Blotting,Western,Calcium-Binding Proteins,Cell Line,Tumor,Drosophila Proteins,Flow Cytometry,HEK293 Cells,Humans,Intercellular Signaling Peptides and Proteins,Ligands,Membrane Proteins,Mice,Models,Molecular,Molecular Sequence Data,Mutation,Protein Binding,Protein Structure,Secondary,Tertiary,Receptor,Notch1,Receptors,Notch,Sequence Homology,Amino Acid"
immd0237,whgu0172,15,1.5228422473583765,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,The Federation of European Biochemical Societies (FEBS) Journal|Nature Chemical Biology|Journal of Pathology|Cancer Cell|Chemistry and Biology|Journal of Proteomics and Bioinformatics|Proceedings of the National Academy of Sciences of USA|Molecular Cell|Journal of Biological Chemistry|Journal of Biological Chemistry|Proceedings of the National Academy of Sciences of USA|Nature Chemical Biology|EMBO Reports|Journal of Biological Chemistry|EMBO Reports,20/01/2011|01/01/2012|01/01/2011|18/10/2011|27/05/2011|27/12/2012|18/02/2014|30/01/2014|01/01/2011|22/02/2011|18/02/2014|01/01/2012|01/01/2012|30/07/2011|07/02/2012,Factor-inhibiting hypoxia-inducible factor (FIH) catalyses the post-translational hydroxylation of histidinyl residues within ankyrin repeat domains.|Oxygenase-catalyzed ribosome hydroxylation occurs in prokaryotes and humans.|Aberrant succination of proteins in fumarate hydratase-deficient mice and HLRCC patients is a robust biomarker of mutation status|Renal cyst formation in Fh1-deficient mice is independent of the Hif/Phd pathway: roles for fumarate in KEAP1 succination and Nrf2 signaling.|A photoreactive small-molecule probe for 2-oxoglutarate oxygenases.|Modls: Post-translational modification localization scoring with automatic specificity expansion|OGFOD1 catalyzes prolyl hydroxylation of RPS23 and is involved in translation control and stress granule formation.|Optimal translational termination requires C4 lysyl hydroxylation of eRF1.|Quantitative mass spectrometry reveals dynamics of factor-inhibiting hypoxia-inducible factor-catalyzed hydroxylation|Differential sensitivity of hypoxia inducible factor hydroxylation sites to hypoxia and hydroxylase inhibitors.|Hydroxylation of the eukaryotic ribosomal decoding center affects translational accuracy.|Oxygenase-catalyzed ribosome hydroxylation occurs in prokaryotes and humans|The FIH hydroxylase is a cellular peroxide sensor that modulates HIF transcriptional activity|Quantitative mass spectrometry reveals dynamics of factor-inhibiting hypoxia-inducible factor-catalyzed hydroxylation.|The FIH hydroxylase is a cellular peroxide sensor that modulates HIF transcriptional activity.,"Yang M,Chowdhury R,Ge W,Hamed RB,McDonough MA,Claridge TD,Kessler BM,Cockman ME,Ratcliffe PJ,Schofield CJ|Ge W,Wolf A,Feng T,Ho CH,Sekirnik R,Zayer A,Granatino N,Cockman ME,Loenarz C,Loik ND,Hardy AP,Claridge TD,Hamed RB,Chowdhury R,Gong L,Robinson CV,Trudgian DC,Jiang M,Mackeen MM,McCullagh JS,Gordiyenko Y,Thalhammer A,Yamamoto A,Yang M,Liu-Yi P,Zhang Z,Schmidt-Zachmann M,Kessler BM,Ratcliffe PJ,Preston GM,Coleman ML,Schofield CJ|Bardella C,El-Bahrawy M,Frizzell N,Adam J,Ternette N,Hatipoglu E,Howarth K,O'Flaherty L,Roberts I,Turner G,Taylor J,Giaslakiotis K,Macaulay VM,Harris AL,Chandra A,Lehtonen HJ,Launonen V,Aaltonen LA,Pugh CW,Mihai R,Trudgian D,Kessler B,Baynes JW,Ratcliffe PJ,Tomlinson IP,Pollard PJ|Adam J,Hatipoglu E,O'Flaherty L,Ternette N,Sahgal N,Lockstone H,Baban D,Nye E,Stamp GW,Wolhuter K,Stevens M,Fischer R,Carmeliet P,Maxwell PH,Pugh CW,Frizzell N,Soga T,Kessler BM,El-Bahrawy M,Ratcliffe PJ,Pollard PJ|Rotili D,Altun M,Kawamura A,Wolf A,Fischer R,Leung IK,Mackeen MM,Tian YM,Ratcliffe PJ,Mai A,Kessler BM,Schofield CJ|Trudgian DC,Singleton R,Cockman ME,Ratcliffe PJ,Kessler BM|Singleton RS,Liu-Yi P,Formenti F,Ge W,Sekirnik R,Fischer R,Adam J,Pollard PJ,Wolf A,Thalhammer A,Loenarz C,Flashman E,Yamamoto A,Coleman ML,Kessler BM,Wappner P,Schofield CJ,Ratcliffe PJ,Cockman ME|Yamamoto A,Feng T,Wilkins S,Sokolova E,Yates L,Muenzel M,Singh P,Hopkinson R,Fischer R,Cockman M,Shelley J,Trudgian D,Schoedel J,McCullagh JO,Ge W,Kessler B,Gilbert R,Frolova L,Alkalaeva E,Ratcliffe P,Schofield C,Coleman M|Singleton RS,Trudgian DC,Fischer R,Kessler BM,Ratcliffe PJ,Cockman ME|Tian YM,Yeoh KK,Lee MK,Eriksson T,Kessler BM,Kramer HB,Edelmann MJ,Willam C,Pugh CW,Schofield CJ,Ratcliffe PJ|Loenarz C,Sekirnik R,Thalhammer A,Ge W,Spivakovsky E,Mackeen MM,McDonough MA,Cockman ME,Kessler BM,Ratcliffe PJ,Wolf A,Schofield CJ|Ge W,Wolf A,Feng T,Ho C-H,Sekirnik R,Zayer A,Granatino N,Cockman ME,Loenarz C,Loik ND,Hardy AP,Claridge TDW,Hamed RB,Chowdhury R,Gong L,Robinson CV,Trudgian DC,Jiang M,Mackeen MM,Mccullagh JS,Gordiyenko Y,Thalhammer A,Yamamoto A,Yang M,Liu-Yi P,Zhang Z,Schmidt-Zachmann M,Kessler BM,Ratcliffe PJ,Preston GM,Coleman ML,Schofield CJ|Masson N,Singleton RS,Sekirnik R,Trudgian DC,Ambrose LJ,Miranda MX,Tian YM,Kessler BM,Schofield CJ,Ratcliffe PJ|Singleton RS,Trudgian DC,Fischer R,Kessler BM,Ratcliffe PJ,Cockman ME|Masson N,Singleton RS,Sekirnik R,Trudgian DC,Ambrose LJ,Miranda MX,Tian YM,Kessler BM,Schofield CJ,Ratcliffe PJ","Amino Acid Sequence,Ankyrin Repeat,HEK293 Cells,Histidine,Humans,Hydroxylation,Mass Spectrometry,Mixed Function Oxygenases,Models,Molecular,Molecular Sequence Data,Protein Processing,Post-Translational,Protein Structure,Tertiary,Repressor Proteins,Sequence Alignment,Tankyrases|Animals,Arginine,Chromosomal Proteins,Non-Histone,Enzyme Inhibitors,Escherichia coli,Escherichia coli Proteins,Histidine,Histone Demethylases,Humans,Hydroxylation,Magnetic Resonance Spectroscopy,Mixed Function Oxygenases,Nuclear Proteins,Oxygenases,Prokaryotic Cells,Ribosomal Proteins,Ribosomes|Adult,Aged,Animals,Biomarkers,Tumor,Carcinoma,Renal Cell,Disease Models,Animal,Female,Fumarate Hydratase,Genetic Predisposition to Disease,Germ-Line Mutation,Humans,Kidney Neoplasms,Leiomyomatosis,Loss of Heterozygosity,Male,Mice,Knockout,Transgenic,Middle Aged,Neoplastic Syndromes,Hereditary,Prospective Studies,Sensitivity and Specificity,Succinic Acid|Adaptor Proteins,Signal Transducing,Animals,Antioxidants,Cell Hypoxia,Cytoskeletal Proteins,Fumarate Hydratase,Fumarates,Gene Expression Regulation,Neoplastic,Hypoxia-Inducible Factor 1,Kidney Diseases,Cystic,Mice,NF-E2-Related Factor 2,Procollagen-Proline Dioxygenase,Signal Transduction,Succinates|Cell Line,Cross-Linking Reagents,Dioxygenases,Enzyme Inhibitors,F-Box Proteins,Humans,Hydroxyquinolines,Jumonji Domain-Containing Histone Demethylases,Oxidoreductases,N-Demethylating,Photochemical Processes,Protein Structure,Tertiary,Small Molecule Libraries,Spectrometry,Mass,Matrix-Assisted Laser Desorption-Ionization||2-oxoglutarate oxygenase,hypoxia,ribosome,translational control,Analysis of Variance,Carrier Proteins,Computational Biology,Fluorescent Antibody Technique,Gene Knockdown Techniques,Humans,Hydroxylation,Immunoblotting,Immunoprecipitation,Ketoglutaric Acids,Luciferases,Nuclear Proteins,Proline,Prolyl Hydroxylases,Protein Biosynthesis,Protein Processing,Post-Translational,Ribosomal Proteins,Yeasts|Amino Acid Sequence,Animals,Catalysis,Cell Line,Tumor,Codon,Terminator,Gene Expression Regulation,HeLa Cells,Histone Demethylases,Humans,Hydrolysis,Hydroxylation,Mixed Function Oxygenases,Models,Molecular,Molecular Sequence Data,Peptide Chain Termination,Translational,Peptide Termination Factors,Protein Biosynthesis,Protein Processing,Post-Translational,Protein Structure,Tertiary,Sequence Homology,Amino Acid||Animals,Cell Hypoxia,Drosophila melanogaster,Enzyme Inhibitors,Hep G2 Cells,Humans,Hydroxylation,Hypoxia-Inducible Factor 1,alpha Subunit,K562 Cells,Male,Oxygenases,Protein Structure,Tertiary,Rats,Sprague-Dawley,Ubiquitin-Protein Ligases,p300-CBP Transcription Factors|2-oxoglutarate oxygenase,hypoxia,nonsense readthrough,ribosomal hydroxylation,translation,Chlorophyta,Codon,Terminator,Humans,Hydroxylation,Mass Spectrometry,Oxygenases,Protein Biosynthesis,Protein Processing,Post-Translational,Ribosomal Proteins,Ribosomes,Saccharomyces cerevisiae,Schizosaccharomyces,Species Specificity|||Animals,Ankyrin Repeat,Cell Hypoxia,HEK293 Cells,Humans,Hydroxylation,Hypoxia-Inducible Factor 1,Mass Spectrometry,Mice,Mixed Function Oxygenases,Oxygen,Protein Binding,Protein Structure,Tertiary,Repressor Proteins,Transcription,Genetic|Cell Hypoxia,Cell Line,Cysteine,Gene Expression Regulation,Humans,Hydroxylation,Hypoxia-Inducible Factor 1,alpha Subunit,Mixed Function Oxygenases,Peroxides,Repressor Proteins,Transcription,Genetic"
clme0667,raob0047,2,0.30000000000000004,Journal article|Journal article,Cancer Research|Clinical Cancer Research,22/11/2011|07/11/2011,Dual inhibition of the PI3K/mTOR pathway increases tumor radiosensitivity by normalizing tumor vasculature.|Modulation of the tumor microvasculature by phosphoinositide-3 kinase inhibition increases doxorubicin delivery in vivo.,"Fokas E,Im JH,Hill S,Yameen S,Stratford M,Beech J,Hackl W,Maira SM,Bernhard EJ,McKenna WG,Muschel RJ|Qayum N,Im J,Stratford MR,Bernhard EJ,McKenna WG,Muschel RJ","Animals,Dose-Response Relationship,Drug,Humans,Mice,Neoplasms,Experimental,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,Radiation Tolerance,TOR Serine-Threonine Kinases,Xenograft Model Antitumor Assays|Animals,Anoxia,Doxorubicin,Drug Delivery Systems,Female,Humans,Immunoenzyme Techniques,Indazoles,Mammary Neoplasms,Animal,Mice,Nude,Transgenic,Microvessels,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,Sulfonamides"
clne0009,stat0004,3,0.0356467335952277,Journal article|Journal article|Journal article,Nature Genetics|Nature Genetics|Nature Genetics,05/02/2012|01/01/2012|01/01/2012,Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke|Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke|Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke,"Bellenguez C,Bevan S,Gschwendtner A,Spencer CCA,Burgess AI,Pirinen M,Jackson CA,Traylor M,Strange A,Su Z,Band G,Syme PD,Malik R,Pera J,Norrving B,Lemmens R,Freeman C,Schanz R,James T,Poole D,Murphy L,Segal H,Cortellini L,Cheng Y,Woo D,Nalls M,Muller-Myhsok B,Meisinger C,Seedorf U,Ross-Adams H,Boonen S,Wloch-Kopec D,Valant V,Slark J,Furie K,Delavaran H,Langford C,Deloukas P,Edkins S,Hunt S,Gray E,Dronov S,Peltonen L,Gretarsdottir S,Thorleifsson G,Thorsteinsdottir U,Stefansson K,Boncoraglio G,Parati E,Attia J,Holliday E,Levi C,Franzosi M,Goel A,Helgadottir A,Blackwell JM,Bramon E,Brown MA,Casas JP,Corvin A,Duncanson A,Jankowski J,Mathew CG,Palmer CNA,Plomin R,Rautanen A,Sawcer SJ,Trembath RC,Viswanathan A,Wood NW,Worrall BB,Kittner SJ,Mitchell BD,Kissela B,Meschia JF,Thijs V,Lindgren A,Macleod MJ,Slowik A,Walters M,Rosand J,Sharma P,Farrall M,Sudlow CLM,Rothwell PM,Dichgans M,Donnelly P,Markus HS|Bellenguez C,Bevan S,Gschwendtner A,Spencer CCA,Burgess AI,Pirinen M,Jackson CA,Traylor M,Strange A,Su Z,Band G,Syme PD,Malik R,Pera J,Bo N,Lemmens R,Freeman C,Schanz R,James T,Poole D,Murphy L,Segal H,Cortellini L,Cheng Y-C,Woo D,Nalls MA,Müller-Myhsok B,Meisinger C,Seedorf U,Ross-Adams H,Boonen S,Wloch-Kopec D,Valant V,Slark J,Furie K,Delavaran H,Langford C,Deloukas P,Edkins S,Hunt S,Gray E,Dronov S,Peltonen L,Gretarsdottir S,Thorleifsson G,Thorsteinsdottir U,Stefansson K,Boncoraglio GB,Parati EA,Attia J,Holliday E,Levi C,Franzosi M-G,Goel A,Helgadottir A,Blackwell JM,Bramon E,Brown MA,Casas JP,Corvin A,Duncanson A,Jankowski J,Mathew CG,Palmer CNA,Plomin R,Rautanen A,Sawcer SJ,Trembath RC,Viswanathan AC,Wood NW,Worrall BB,Kittner SJ,Mitchell BD,Kissela B,Meschia JF,Thijs V,Lindgren A,MacLeod MJ,Slowik A,Walters M,Rosand J,Sharma P,Farrall M,Sudlow CLM,Rothwell PM,Dichgans M,Donnelly P,Markus HS|Bellenguez C,Bevan S,Gschwendtner A,Spencer CCA,Burgess AI,Pirinen M,Jackson CA,Traylor M,Strange A,Su Z,Band G,Syme PD,Malik R,Pera J,Bo N,Lemmens R,Freeman C,Schanz R,James T,Poole D,Murphy L,Segal H,Cortellini L,Cheng YC,Woo D,Nalls MA,Müller-Myhsok B,Meisinger C,Seedorf U,Ross-Adams H,Boonen S,Wloch-Kopec D,Valant V,Slark J,Furie K,Delavaran H,Langford C,Deloukas P,Edkins S,Hunt S,Gray E,Dronov S,Peltonen L,Gretarsdottir S,Thorleifsson G,Thorsteinsdottir U,Stefansson K,Boncoraglio GB,Parati EA,Attia J,Holliday E,Levi C,Franzosi MG,Goel A,Helgadottir A,Blackwell JM,Bramon E,Brown MA,Casas JP,Corvin A,Duncanson A,Jankowski J,Mathew CG,Palmer CNA,Plomin R,Rautanen A,Sawcer SJ,Trembath RC,Viswanathan AC,Wood NW,Worrall BB,Kittner SJ,Mitchell BD,Kissela B,Meschia JF,Thijs V,Lindgren A,MacLeod MJ,Slowik A,Walters M",||
path0089,quee1607,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clme0149,path0089,5,0.2717086834733894,Journal article|Journal article|Journal article|Journal article|Journal article,Blood|Journal of Infection|Mucosal Immunology|Blood|Blood,07/02/2013|07/02/2013|01/03/2016|01/01/2012|15/11/2011,"Early and nonreversible decrease of CD161++ /MAIT cells in HIV infection.|EARLY AND NON-REVERSIBLE DECREASE OF CD161++/MUCOSAL ASSOCIATED INVARIANT T CELLS IN HIV INFECTION|CD161(int)CD8+ T cells: a novel population of highly functional, memory CD8+ T cells enriched within the gut.|Human MAIT and CD8αα cells develop from a pool of type-17 precommitted CD8 <sup>+</sup> T cells|Human MAIT and CD8αα cells develop from a pool of type-17 precommitted CD8+ T cells.","Cosgrove C,Ussher JE,Rauch A,Gärtner K,Kurioka A,Hühn MH,Adelmann K,Kang YH,Fergusson JR,Simmonds P,Goulder P,Hansen TH,Fox J,Günthard HF,Khanna N,Powrie F,Steel A,Gazzard B,Phillips RE,Frater J,Uhlig H,Klenerman P|Cosgrove C,Ussher JE,Rauch A,Gaertner K,Kurioka A,Huehn MH,Adelmann K,Kang Y-H,Fergusson JR,Simmonds P,Goulder P,Hansen TH,Fox J,Guenthard HF,Khanna N,Powrie F,Steel A,Gazzard B,Phillips RE,Frater J,Uhlig H,Klenerman P|Fergusson JR,Hühn MH,Swadling L,Walker LJ,Kurioka A,Llibre A,Bertoletti A,Holländer G,Newell EW,Davis MM,Sverremark-Ekström E,Powrie F,Capone S,Folgori A,Barnes E,Willberg CB,Ussher JE,Klenerman P|Walker LJ,Kang YH,Smith MO,Tharmalingham H,Ramamurthy N,Fleming VM,Sahgal N,Leslie A,Oo Y,Geremia A,Scriba TJ,Hanekom WA,Lauer GM,Lantz O,Adams DH,Powrie F,Barnes E,Klenerman P|Walker LJ,Kang YH,Smith MO,Tharmalingham H,Ramamurthy N,Fleming VM,Sahgal N,Leslie A,Oo Y,Geremia A,Scriba TJ,Hanekom WA,Lauer GM,Lantz O,Adams DH,Powrie F,Barnes E,Klenerman P","Adult,Anti-HIV Agents,Antiretroviral Therapy,Highly Active,Apoptosis,CD8-Positive T-Lymphocytes,Cells,Cultured,Cohort Studies,Escherichia coli,Female,Flow Cytometry,HIV,HIV Infections,Humans,Immunity,Mucosal,Immunohistochemistry,Interleukin-17,Leukocytes,Mononuclear,Lymphocyte Count,Male,Middle Aged,NK Cell Lectin-Like Receptor Subfamily B,Receptors,CCR5,CCR6,T-Lymphocyte Subsets,Time Factors||||Adult,Antigen Presentation,Antigens,CD8,Biomarkers,Blotting,Western,CD8-Positive T-Lymphocytes,Cell Differentiation,Cytokines,Fetal Blood,Fluorescent Antibody Technique,Gene Expression Profiling,Humans,Immunity,Mucosal,Infant,Newborn,Oligonucleotide Array Sequence Analysis,Protein Isoforms,RNA,Messenger,Real-Time Polymerase Chain Reaction,Receptors,Antigen,T-Cell,T-Lymphocyte Subsets,Th17 Cells"
